climate_bin,min_GDD,max_GDD,min_annual_prec,max_annual_prec,yield_ceiling,yield_floor,b_nut,b_K2O,c_N,c_P2O5,c_K2O,yield_ceiling_rf,bin_rmse,bin_r2
1,4394.8467,6080.2974,649,1307,20.1,2.5715,0.87207,,0.014044,,,,3.497,0.64456
2,4394.8467,6080.2974,1307,1491,19.16,2.5715,0.86579,0.73745,0.015391,,0.083793,,3.4098,0.54094
3,4394.8467,6080.2974,1491,1678,20.35,2.6068,0.8719,0.61677,0.098794,,0.079003,15.2625,4.9607,0.5756
4,4394.8467,6080.2974,1678,1958,20.35,1.0383,0.94898,,,0.34278,,15.2625,4.1704,0.74606
5,4394.8467,6080.2974,1958,2142,20.863,2.5715,0.87674,0.81059,0.025317,,0.082885,,3.9003,0.74383
6,4394.8467,6080.2974,2142,2274,20.863,2.6689,0.87208,,0.028495,,,,3.0115,0.70835
7,4394.8467,6080.2974,2274,2436,20.863,2.6689,0.87208,0.60883,,0.1869,0.051162,,1.9771,0.81452
8,4394.8467,6080.2974,2436,2631,21.8773,2.6689,0.87801,0.66134,0.021808,,0.044735,,2.3075,0.46434
9,4394.8467,6080.2974,2631,2857,21.8773,12.18,0.44326,,0.01091,0.068854,,,2.317,0.24613
10,4394.8467,6080.2974,2857,3924,21.9354,12.18,0.44473,,0.007676,,,17.0253,2.924,0.06009
11,6080.2974,6437.082,569,1316,15.99,2.5715,0.83918,,0.025677,,,,2.1551,0.80001
12,6080.2974,6437.082,1316,1411,15.99,2.5715,0.83918,,0.018146,,,,1.988,0.70879
13,6080.2974,6437.082,1411,1562,19.16,2.5715,0.86579,,0.019206,,,,2.8628,0.51332
14,6080.2974,6437.082,1562,1686,20.35,1.0383,0.94898,,0.051084,,,15.2625,2.9316,0.55618
15,6080.2974,6437.082,1686,1882,20.2314,2.5715,0.8729,,0.026383,0.11153,,,2.5082,0.88416
16,6080.2974,6437.082,1882,2221,20.2314,2.5715,0.8729,,,0.081374,,,2.5296,0.89096
17,6080.2974,6437.082,2221,2448,21.8773,2.6689,0.87801,,0.020934,0.11812,,,2.0861,0.77268
18,6080.2974,6437.082,2448,2662,21.8773,2.6689,0.87801,,0.02011,0.11479,,,2.547,0.48321
19,6080.2974,6437.082,2662,3023,21.8773,10.74,0.50908,0.44899,0.014717,,0.02648,,2.5392,0.27742
20,6080.2974,6437.082,3023,4226,21.9354,10.74,0.51038,,0.0064665,,,16.3377,3.0599,-0.031818
21,6437.082,6594.7427,518,1376,15.99,2.5715,0.83918,,0.0182,0.18107,,,2.4638,0.73546
22,6437.082,6594.7427,1376,1546,15.99,2.5715,0.83918,0.83918,,,0.016385,,2.7756,0.40861
23,6437.082,6594.7427,1546,1782,18.07,2.5715,0.85769,,0.021805,0.14407,,,2.4971,0.66565
24,6437.082,6594.7427,1782,1919,20.2314,2.5715,0.8729,,0.018422,0.10844,,,1.4693,0.8931
25,6437.082,6594.7427,1919,2102,20.2314,2.5715,0.8729,,,0.055213,,,2.1173,0.963
26,6437.082,6594.7427,2102,2321,21.8773,2.5715,0.88246,,0.01917,0.105,,,1.8752,0.91901
27,6437.082,6594.7427,2321,2488,21.8773,5.1389,0.7651,0.75196,0.018413,0.13081,0.071566,,2.0405,0.44292
28,6437.082,6594.7427,2488,2626,20.863,12.6056,0.39579,,0.015148,0.12997,,20.863,2.2315,0.15408
29,6437.082,6594.7427,2626,3072,20.876,8.033,0.6152,,0.018069,0.093154,,,2.6623,0.2697
30,6437.082,6594.7427,3072,4267,20.35,10.74,0.47224,0.47224,,,0.079302,15.2625,2.3977,0.074014
31,6594.7427,6696.1074,536,1487,15.99,2.5715,0.83918,,,0.071305,,,2.8887,0.64221
32,6594.7427,6696.1074,1487,1830,18.07,2.5715,0.85769,,,0.089412,,,2.8932,0.77356
33,6594.7427,6696.1074,1830,2008,19.6282,2.5715,0.86899,,,0.062488,,,2.1463,0.90861
34,6594.7427,6696.1074,2008,2118,20.2314,2.5715,0.8729,,,0.061635,,,1.6935,0.96427
35,6594.7427,6696.1074,2118,2248,19.6691,2.5715,0.86926,,,0.057674,,,1.594,0.95104
36,6594.7427,6696.1074,2248,2373,21.8773,2.5715,0.88246,0.82114,0.022136,,0.053934,,1.6895,0.95786
37,6594.7427,6696.1074,2373,2558,21.2106,2.5715,0.87876,0.58482,0.025103,,0.06749,,2.5761,0.85978
38,6594.7427,6696.1074,2558,2828,20.863,2.5715,0.87674,0.82461,0.028263,,0.057828,,2.0786,0.69438
39,6594.7427,6696.1074,2828,3113,20.876,2.5715,0.87682,0.56982,0.085949,,0.061912,15.657,3.1355,0.43472
