climate_bin,min_GDD,max_GDD,min_annual_prec,max_annual_prec,yield_ceiling,yield_floor,b_nut,b_K2O,c_N,c_P2O5,c_K2O,yield_ceiling_rf,bin_rmse,bin_r2
1,1921.0195,4199.8252,250,647,9.8812,3.7885,0.61659,0.52989,0.0074887,0.034892,0.037671,,1.5839,0.32355
2,1921.0195,4199.8252,647,817,10.0349,3.9152,0.60984,0.54785,0.0041851,,0.035165,,1.0162,0.39146
3,1921.0195,4199.8252,817,912,9.9485,3.7137,0.6267,0.57391,0.0044714,,0.045762,4.9799,0.89764,0.54718
4,1921.0195,4199.8252,912,991,11.168,3.0359,0.72816,0.72811,0.0041812,,0.048277,6.709,0.92286,0.64691
5,1921.0195,4199.8252,991,1053,10.0253,3.0359,0.69718,0.6886,0.0054234,,0.059972,6.3884,0.82658,0.71951
6,1921.0195,4199.8252,1053,1140,8.9594,3.0359,0.66115,0.66025,0.0062368,0.032307,0.070274,6.2153,0.87744,0.63113
7,1921.0195,4199.8252,1140,1232,7.8647,1.6709,0.78755,0.63351,0.0083327,,0.071907,4.7847,1.0242,0.22191
8,1921.0195,4199.8252,1232,1324,7.2499,2.9769,0.58939,0.58679,0.012146,0.04452,0.044586,7.2499,0.82502,0.33763
9,1921.0195,4199.8252,1324,1487,7.1733,1.821,0.74614,0.65594,0.023615,0.026354,0.053652,,0.99507,0.32191
10,1921.0195,4199.8252,1487,2139,7.0004,1.2747,0.81791,0.70981,0.024383,,0.060261,5.4218,0.82377,0.61961
11,4199.8252,4993.7075,283,1075,11.8978,5.1471,0.56739,0.45673,,0.010955,0.090024,,1.3545,0.27424
12,4199.8252,4993.7075,1075,1164,9.3243,2.2855,0.75489,0.62298,0.0072181,,0.050638,,1.3064,0.0056987
13,4199.8252,4993.7075,1164,1249,7.759,2.5063,0.67698,,0.013803,0.021425,,5.1182,1.0681,0.16567
14,4199.8252,4993.7075,1249,1318,7.4696,3.8891,0.47934,0.47934,0.0050586,0.036404,0.044433,5.6338,0.83376,0.14384
15,4199.8252,4993.7075,1318,1371,7.1637,3.8888,0.45714,0.45714,0.0051987,0.07248,0.045494,7.1637,0.76141,0.21151
16,4199.8252,4993.7075,1371,1416,7.1733,2.5508,0.6444,0.64439,0.0088633,,0.068298,,0.85542,0.22809
