climate_bin,min_GDD,max_GDD,min_annual_prec,max_annual_prec,yield_ceiling,yield_floor,b_nut,b_K2O,c_N,c_P2O5,c_K2O,yield_ceiling_rf,bin_rmse,bin_r2
1,1236.668,2513.1794,24,324,3.8028,0.69,0.81855,0.6406,0.022081,,0.15021,,0.50356,0.57593
2,1236.668,2513.1794,324,342,2.0111,0.72,0.64199,,,0.10066,,2.0111,0.33698,0.42497
3,1236.668,2513.1794,342,362,2.251,0.72,0.68014,,,0.10054,,,0.36508,0.56913
4,1236.668,2513.1794,362,382,2.35,0.72,0.69362,,0.031247,,,2.35,0.37032,0.64681
5,1236.668,2513.1794,382,406,2.7038,0.72,0.73371,,0.025492,,,2.6312,0.415,0.66583
6,1236.668,2513.1794,406,427,3.6764,0.89047,0.75779,,0.013838,,,3.2202,0.41923,0.75597
7,1236.668,2513.1794,427,446,3.6764,0.89047,0.75779,,0.015182,,,3.3488,0.42346,0.75241
8,1236.668,2513.1794,446,483,3.6764,0.76784,0.79114,,0.01783,,,2.577,0.55844,0.64326
9,1236.668,2513.1794,483,577,5.2206,0.72,0.86209,0.841,0.0083892,0.087864,0.28733,,0.65533,0.60491
10,1236.668,2513.1794,577,1527,5.2206,0.72,0.86209,0.76706,0.009038,,0.11315,,0.83232,0.59978
11,2513.1794,2860.521,19,306,4.61,0.72,0.84382,0.75501,0.010137,,0.14081,,0.65589,0.56181
12,2513.1794,2860.521,306,326,2.4997,0.93748,0.62496,0.42322,0.021749,,0.1698,2.4766,0.37301,0.59645
13,2513.1794,2860.521,326,341,2.251,0.93748,0.58352,,0.025966,,,2.2102,0.43593,0.6916
14,2513.1794,2860.521,341,363,2.251,0.93748,0.58352,0.1775,0.026938,,0.21715,2.2467,0.38534,0.60188
15,2513.1794,2860.521,363,412,3.1025,0.93748,0.69784,0.43339,0.011656,,0.14618,1.9487,0.41533,0.46375
16,2513.1794,2860.521,412,462,2.6588,1.0872,0.59109,0.45726,0.011547,,0.23112,,0.3711,0.33077
17,2513.1794,2860.521,462,525,3.0734,0.89047,0.71026,0.62913,0.013183,,0.34377,3.0734,0.50207,0.39269
18,2513.1794,2860.521,525,563,4.9699,1.1079,0.77708,0.66306,,0.052335,0.03117,2.906,0.61635,0.32826
19,2513.1794,2860.521,563,629,7.0348,1.0665,0.8484,0.79158,0.0069867,,0.09156,,0.94056,0.37851
20,2513.1794,2860.521,629,1603,7.9509,0.98285,0.87638,0.7757,0.0106,,0.053766,,1.3454,0.65106
21,2860.521,3234.4409,19,320,7.4082,0.72,0.90281,0.87507,,0.069655,0.06633,2.5306,0.78778,0.73932
22,2860.521,3234.4409,320,389,4.4199,0.93748,0.7879,0.78442,0.0060352,,0.043389,2.2614,0.59595,0.46083
23,2860.521,3234.4409,389,438,4.4199,1.1079,0.74934,0.68251,0.0058296,,0.024239,1.7348,0.54381,0.16794
24,2860.521,3234.4409,438,493,3.7347,1.1079,0.70335,0.61527,0.027066,,0.026381,,0.61748,0.12514
25,2860.521,3234.4409,493,529,5.2592,0.86563,0.83541,0.67678,,0.079729,0.034376,3.7592,0.94254,0.31868
26,2860.521,3234.4409,529,563,7.7571,1.1452,0.85237,0.7816,0.0053919,,0.040095,,1.1057,0.45498
27,2860.521,3234.4409,563,594,7.6503,1.2943,0.83082,0.73448,0.0068747,,0.039921,,1.286,0.36082
28,2860.521,3234.4409,594,630,7.7571,1.8,0.76796,0.71704,0.0063816,,0.084778,,1.0345,0.59642
29,2860.521,3234.4409,630,694,8.7377,1.7132,0.80393,0.72998,0.0061276,,0.038676,,1.16,0.60156
30,2860.521,3234.4409,694,1658,8.7377,1.37,0.84321,0.72245,0.0092449,0.099638,0.044802,,1.2166,0.71038
31,3234.4409,3829.4092,16,355,7.1971,0.72,0.89996,0.8464,,0.069017,0.060731,3.3489,1.0419,0.6832
32,3234.4409,3829.4092,355,409,5.0676,1.043,0.79419,0.65652,,,0.037106,5.0676,0.67759,0.22547
33,3234.4409,3829.4092,409,449,4.4426,1.043,0.76524,0.59519,,0.057162,0.023609,,0.69514,0.1161
34,3234.4409,3829.4092,449,496,5.0676,1.0093,0.80083,0.61926,,0.064371,0.027778,,1.0404,0.12683
35,3234.4409,3829.4092,496,534,7.7571,1.0601,0.86334,0.75434,0.013513,,0.018004,4.0338,1.1524,0.31662
36,3234.4409,3829.4092,534,578,8.2136,1.0728,0.86939,0.77264,0.0073284,,0.035691,,1.472,0.51439
37,3234.4409,3829.4092,578,628,8.2136,1.1768,0.85672,0.74346,,,0.046186,,1.5939,0.59522
38,3234.4409,3829.4092,628,674,8.448,1.8665,0.77906,0.77392,0.022663,0.04214,0.05629,,1.2439,0.75897
39,3234.4409,3829.4092,674,781,8.4839,0.78448,0.90753,0.74243,0.020661,,0.048715,,1.4396,0.63752
40,3234.4409,3829.4092,781,1692,8.6406,0.98285,0.88625,0.76223,0.009961,,0.048364,,1.5969,0.4604
41,3829.4092,4501.0088,17,362,5.5334,0.72,0.86988,0.75638,0.013225,,0.083277,,0.86547,0.6292
42,3829.4092,4501.0088,362,417,3.4696,1.0403,0.70018,0.49157,,,0.05413,,0.60452,0.31166
43,3829.4092,4501.0088,417,464,4.738,0.83221,0.82436,0.63556,,,0.062029,2.3842,0.66897,0.23423
44,3829.4092,4501.0088,464,521,4.0485,0.83221,0.79444,0.45065,,,0.023139,,0.93471,0.053544
45,3829.4092,4501.0088,521,561,4.4506,1.422,0.68049,0.44875,0.036433,,0.060494,3.017,0.94128,-0.01378
46,3829.4092,4501.0088,561,596,4.8337,1.3227,0.72636,0.44122,0.04217,,0.018707,,1.0533,0.015529
47,3829.4092,4501.0088,596,642,8.0712,1.2546,0.84455,0.67492,0.019743,,0.017915,,1.3378,0.44095
48,3829.4092,4501.0088,642,707,8.0712,1.2352,0.84696,0.69129,0.018282,,0.026204,,1.2203,0.64862
49,3829.4092,4501.0088,707,808,7.3077,1.3156,0.81997,0.74776,0.020818,0.033832,0.035869,,1.1071,0.64402
50,3829.4092,4501.0088,808,1692,6.8317,1.2449,0.81778,0.76843,,0.025119,0.026787,,1.1616,0.49954
