ClimateBin,Nrate25,Nrate50,Nrate75,Nrate95,P2O5rate25,P2O5rate50,P2O5rate75,P2O5rate95,K2Orate25,K2Orate50,K2Orate75,K2Orate95,ModYieldIrrOff25,ModYieldIrrOff50,ModYieldIrrOff75,ModYieldIrrOff95,ModYieldIrrOn25,ModYieldIrrOn50,ModYieldIrrOn75,ModYieldIrrOn95,ClimateBinR2,GlobalCropR2,
1,12.728093,12.728093,55.861628,73.320665,3.805533,3.805533,12.727945,14.161464,2.518992,2.518992,6.236497,6.236497,1.780034e+00,1.780034,2.736600,2.736600,1.780034,1.780034,2.737637,2.839933,0.575670,0.788230,
2,12.728093,55.861628,73.320665,73.320665,3.805533,12.218040,12.727945,12.727945,2.518992,2.518992,6.236497,6.236497,1.766449e+00,2.724571,2.849877,2.849877,1.766449,2.724571,2.849877,2.849877,0.828630,0.788230,
3,55.861628,55.861628,73.320665,73.320665,12.218040,12.218040,12.727945,12.727945,2.518992,2.518992,2.518992,6.236497,2.813647e+00,2.813647,3.037204,3.037204,2.813647,2.813647,3.037204,3.037204,0.823180,0.788230,
4,55.861628,55.861628,73.320665,73.320665,12.218040,12.218040,12.727945,12.727945,2.518992,2.518992,2.518992,6.236497,2.893119e+00,2.893119,3.065772,3.065772,2.893119,2.893119,3.065772,3.065772,0.695410,0.788230,
5,12.728093,57.936431,73.320665,73.320665,3.805533,12.218040,12.727945,12.727945,2.518992,2.518992,5.340450,6.236497,1.765271e+00,2.968538,3.144783,3.144783,1.765271,2.968538,3.144783,3.144783,0.823310,0.788230,
6,12.728093,59.960310,73.320665,86.873322,3.805533,12.218040,12.218040,17.079510,2.518992,2.518992,6.236497,6.236497,1.767346e+00,2.998804,3.006000,3.006000,1.767346,2.998804,3.013377,3.243166,0.787000,0.788230,
7,12.728093,73.320665,73.320665,92.432042,3.805533,12.218040,12.218040,21.000000,2.518992,2.755193,6.236497,27.000000,1.729859e+00,3.006600,3.006600,3.006600,1.729859,3.100863,3.100863,3.250645,0.701700,0.788230,
8,12.728093,41.800075,92.432042,92.432042,3.805533,20.512256,21.000000,21.000000,5.340450,6.236497,27.000000,27.000000,1.742247e+00,2.601600,2.601600,2.601600,1.742247,2.650347,3.260779,3.260779,0.598890,0.788230,
9,12.728093,41.800075,92.432042,92.432042,3.805533,20.512256,21.000000,21.000000,6.236497,6.236497,27.000000,27.000000,1.688811e+00,2.587717,3.057900,3.057900,1.688811,2.587717,3.282271,3.282271,0.880930,0.788230,
10,12.728093,70.961131,92.432042,160.043544,3.805533,17.079510,21.000000,64.994702,6.236497,11.080668,27.000000,70.535197,1.591858e+00,2.936977,3.233479,3.667500,1.591858,2.936977,3.233479,4.872095,0.630470,0.788230,
11,1.932115,12.728093,55.861628,73.320665,1.131741,3.805533,12.218040,14.161464,0.270597,2.518992,6.236497,6.236497,1.349850e+00,1.784700,1.784700,1.784700,1.349850,2.641064,5.400785,5.906558,0.727890,0.788230,
12,12.728093,55.861628,55.861628,73.320665,3.805533,12.727945,12.727945,14.161464,2.518992,2.518992,6.236497,6.236497,1.777184e+00,2.209000,2.209000,2.209000,1.777184,2.829217,2.829217,2.983522,0.730110,0.788230,
13,12.728093,55.861628,55.861628,73.320665,3.805533,12.218040,12.727945,12.727945,2.518992,2.518992,6.236497,6.236497,1.627373e+00,2.496406,2.496406,2.633516,1.627373,2.496406,2.496406,2.633516,0.749170,0.788230,
14,12.728093,55.861628,55.861628,73.320665,3.805533,12.218040,12.727945,14.161464,2.518992,2.518992,6.236497,6.236497,1.768392e+00,2.606800,2.606800,2.606800,1.768392,2.840417,2.975247,3.193931,0.740020,0.788230,
15,12.728093,55.861628,55.861628,86.873322,3.805533,12.218040,12.727945,17.079510,2.518992,5.340450,6.236497,6.236497,1.775540e+00,2.651800,2.651800,2.651800,1.775540,2.825928,2.825928,3.091975,0.794370,0.788230,
16,12.728093,12.728093,86.873322,86.873322,3.805533,3.805533,17.079510,20.512256,3.547787,6.236497,6.236497,6.236497,1.740847e+00,1.740847,3.117123,3.117123,1.740847,1.740847,3.117123,3.117123,0.862070,0.788230,
17,12.728093,12.728093,86.873322,131.010444,3.805533,3.805533,17.079510,20.793492,6.236497,6.236497,6.236497,15.066128,1.716518e+00,1.716518,3.382946,3.701243,1.716518,1.716518,3.382946,3.701243,0.945830,0.788230,
18,12.728093,12.728093,12.728093,131.010444,3.805533,3.805533,3.805533,20.793492,6.236497,6.236497,6.236497,15.066128,1.950814e+00,1.950814,1.950814,3.183498,1.950814,1.950814,1.950814,3.183498,0.723920,0.788230,
19,12.728093,12.728093,36.210000,131.010444,3.805533,3.805533,10.061019,20.793492,6.236497,6.236497,10.650000,83.362308,1.631389e+00,1.631389,2.135715,3.263445,1.631389,1.631389,2.135715,3.263445,0.618140,0.788230,
20,22.000000,47.000000,117.997256,160.043544,9.230000,12.188264,25.000000,64.994702,4.198320,13.750452,30.961633,83.362308,2.049064e+00,2.837097,4.271095,4.757808,2.049064,2.837097,4.271095,4.757808,0.673720,0.788230,
21,1.932115,12.728093,12.728093,59.960310,1.131741,3.805533,3.805533,14.161464,0.270597,5.340450,6.236497,6.236497,1.206720e+00,1.842932,1.842932,2.761700,1.206720,1.842932,1.842932,3.583608,0.699590,0.788230,
