ClimateBin,Nrate25,Nrate50,Nrate75,Nrate95,P2O5rate25,P2O5rate50,P2O5rate75,P2O5rate95,K2Orate25,K2Orate50,K2Orate75,K2Orate95,ModYieldIrrOff25,ModYieldIrrOff50,ModYieldIrrOff75,ModYieldIrrOff95,ModYieldIrrOn25,ModYieldIrrOn50,ModYieldIrrOn75,ModYieldIrrOn95,ClimateBinR2,GlobalCropR2,
1,128.839681,128.839681,128.839681,181.672995,28.523429,28.523429,31.093269,39.652099,18.649186,18.649186,18.649186,23.716969,5.334994e+00,5.334994,5.334994,5.764628,5.334994,5.334994,5.334994,5.764628,0.326480,0.788230,
2,117.000000,128.839681,128.839681,181.672995,28.523429,31.093269,31.093269,37.964850,18.649186,18.649186,19.426045,33.703975,5.975823e+00,5.975823,6.049469,7.033070,5.975823,5.975823,6.049469,7.033070,0.257720,0.788230,
3,27.035855,128.839681,128.839681,149.826890,7.488150,31.093269,31.093269,36.419482,2.683053,18.649186,18.649186,46.375530,3.416071e+00,6.849673,6.849673,7.475564,3.416071,6.849673,6.849673,7.475564,0.684910,0.788230,
4,27.035855,128.839681,128.839681,166.966780,7.488150,31.093269,31.093269,38.333886,1.258304,18.649186,18.649186,41.361959,2.869760e+00,6.567877,6.567877,8.670132,2.869760,6.567877,6.567877,8.670132,0.715160,0.788230,
5,16.478528,93.399562,128.839681,179.579299,4.271645,23.567273,31.093269,39.356511,1.258304,10.445838,18.649186,36.226949,3.256986e+00,5.106359,6.301242,7.910581,3.256986,5.106359,6.301242,7.910581,0.719820,0.788230,
6,27.035855,128.839681,178.534188,261.271706,7.488150,31.093269,35.651574,55.529645,1.258304,18.649186,34.320466,65.176420,3.151080e+00,6.834043,8.357416,9.341009,3.151080,6.834043,8.357416,9.341009,0.737860,0.788230,
7,102.000000,131.000000,166.966780,250.040460,24.480095,33.019664,39.356511,55.529645,20.592279,27.623268,36.226949,68.000000,7.328829e+00,8.130933,8.764702,9.372585,7.328829,8.130933,8.764702,9.372585,0.698770,0.788230,
8,102.000000,129.000000,152.241253,179.579299,24.480095,30.173141,33.019664,46.577950,35.701920,35.701920,39.884038,82.490324,8.186592e+00,8.788478,9.028578,9.762480,8.186592,8.788478,9.028578,9.762480,0.613100,0.788230,
9,117.997256,152.241253,156.763024,179.579299,23.408160,24.480095,33.317787,56.000000,27.623268,39.884038,39.884038,68.000000,7.142997e+00,7.282263,8.206493,9.234042,7.142997,7.282263,8.206493,9.234042,0.604650,0.788230,
10,77.797492,132.392432,165.222933,179.579299,23.179837,31.743561,33.317787,56.000000,11.000000,34.651864,39.884038,68.000000,3.590982e+00,6.564729,6.993802,7.402900,3.590982,6.564729,6.993802,8.467745,0.633230,0.788230,
