ClimateBin,Nrate25,Nrate50,Nrate75,Nrate95,P2O5rate25,P2O5rate50,P2O5rate75,P2O5rate95,K2Orate25,K2Orate50,K2Orate75,K2Orate95,ModYieldIrrOff25,ModYieldIrrOff50,ModYieldIrrOff75,ModYieldIrrOff95,ModYieldIrrOn25,ModYieldIrrOn50,ModYieldIrrOn75,ModYieldIrrOn95,ClimateBinR2,GlobalCropR2,
1,0.033124,0.033124,64.750101,129.924712,0.044218,0.044218,19.066816,57.332754,0.441333,0.441333,22.673773,179.592039,2.579545e+00,2.579545,13.039726,17.273126,2.579545,2.579545,13.039726,17.273126,0.644560,0.788230,
2,0.033124,0.033124,3.080252,129.924712,0.044218,0.044218,1.122484,32.000000,0.441333,0.441333,7.063199,109.290375,2.579919e+00,2.579919,3.339545,16.914248,2.579919,2.579919,3.339545,16.914248,0.540940,0.788230,
3,0.033124,0.108161,8.289951,102.900000,0.044218,0.227703,2.294728,32.000000,0.441333,1.033004,9.939819,109.290375,2.664804e+00,2.795424,12.527510,15.262500,2.664804,2.795424,12.527510,20.347767,0.575600,0.788230,
4,0.108161,8.289951,90.807676,100.000000,0.227703,2.294728,20.918685,41.081102,1.033004,9.939819,109.290375,204.484331,2.488257e+00,11.555501,15.262500,15.262500,2.488257,11.555501,20.335151,20.349985,0.746060,0.788230,
5,3.080252,76.000000,90.807676,90.807676,1.122484,13.043238,41.081102,41.081102,7.063199,29.489980,204.484331,204.484331,3.943789e+00,18.192300,19.027248,19.027248,3.943789,18.192300,19.027248,19.027248,0.743830,0.788230,
6,76.000000,76.000000,90.807676,90.807676,13.043238,13.043238,41.081102,41.081102,29.489980,29.489980,204.484331,204.484331,1.877651e+01,18.776510,19.494742,19.494742,18.776510,18.776510,19.494742,19.494742,0.708350,0.788230,
7,76.000000,76.700035,90.807676,90.807676,13.043238,18.316255,41.081102,41.081102,29.489980,109.290375,204.484331,204.484331,1.805353e+01,20.269789,20.854578,20.854578,18.053533,20.269789,20.854578,20.854578,0.814520,0.788230,
8,76.000000,90.807676,90.807676,90.807676,13.043238,22.915443,41.081102,41.081102,29.489980,135.599686,204.484331,204.484331,1.800934e+01,19.226084,19.226084,19.226084,18.009336,19.226084,19.226084,19.226084,0.464340,0.788230,
9,76.000000,76.000000,90.807676,90.807676,13.043238,13.043238,41.081102,41.081102,29.489980,29.489980,204.484331,204.484331,1.764523e+01,17.645232,18.276561,18.276561,17.645232,17.645232,18.276561,18.276561,0.246130,0.788230,
10,76.000000,76.000000,90.807676,90.807676,13.043238,13.043238,41.081102,41.081102,29.489980,29.489980,204.484331,204.484331,1.649182e+01,16.491815,17.025300,17.025300,16.491815,16.491815,17.076684,17.076684,0.060090,0.788230,
11,0.434585,3.080252,3.080252,102.900000,0.335988,1.122484,1.122484,29.915309,4.195763,7.063199,7.063199,109.240998,2.720414e+00,3.591917,3.591917,15.034509,2.720414,3.591917,3.591917,15.034509,0.800010,0.788230,
12,3.080252,3.080252,3.080252,8.847335,1.122484,1.122484,1.122484,3.538188,7.063199,7.063199,7.063199,10.041162,3.300952e+00,3.300952,3.300952,4.561734,3.300952,3.300952,3.300952,4.561734,0.708790,0.788230,
13,0.108161,3.080252,3.080252,42.840964,0.227703,1.122484,1.122484,14.000000,1.033004,7.063199,7.063199,20.697443,2.605888e+00,3.524366,3.524366,11.874338,2.605888,3.524366,3.524366,11.874338,0.513320,0.788230,
14,0.108161,3.080252,3.080252,42.840964,0.227703,1.122484,1.122484,14.000000,1.033004,7.063199,7.063199,20.697443,1.144666e+00,3.849977,3.849977,15.262500,1.144666,3.849977,3.849977,18.185422,0.556180,0.788230,
15,0.108161,3.080252,8.847335,90.807676,0.227703,1.122484,3.538188,41.081102,1.033004,7.063199,10.041162,204.484331,2.621734e+00,3.949806,6.247840,18.622545,2.621734,3.949806,6.247840,18.622545,0.884160,0.788230,
16,6.840516,90.807676,90.807676,90.807676,2.061968,41.081102,41.081102,41.081102,7.063199,204.484331,204.484331,204.484331,5.299334e+00,19.607417,19.607417,19.607417,5.299334,19.607417,19.607417,19.607417,0.890960,0.788230,
17,76.000000,90.807676,90.807676,90.807676,17.266212,41.081102,41.081102,41.081102,29.489980,204.484331,204.484331,204.484331,1.796405e+01,19.007092,19.007092,19.007092,17.964050,19.007092,19.007092,19.007092,0.772680,0.788230,
18,76.000000,90.807676,90.807676,90.807676,14.000000,41.081102,41.081102,41.081102,29.489980,204.484331,204.484331,204.484331,1.771115e+01,18.784089,18.784089,18.784089,17.711150,18.784089,18.784089,18.784089,0.483210,0.788230,
19,76.000000,76.000000,90.807676,90.807676,13.043238,13.043238,41.081102,41.081102,29.489980,29.489980,204.484331,204.484331,1.737855e+01,17.378547,18.950578,18.950578,17.378547,17.378547,18.950578,18.950578,0.277420,0.788230,
20,76.000000,76.000000,90.807676,90.807676,13.043238,14.000000,41.081102,41.081102,29.489980,29.489980,204.484331,204.484331,1.508677e+01,15.086774,15.712138,15.712138,15.086774,15.086774,15.712138,15.712138,-0.031818,0.788230,
21,3.080252,3.080252,8.723703,102.900000,1.122484,1.122484,3.538188,29.915309,5.262084,7.063199,7.063199,109.240998,3.303063e+00,3.303063,4.541462,13.927635,3.303063,3.303063,4.541462,13.927635,0.735460,0.788230,
22,0.434585,3.080252,3.080252,8.723703,0.335988,1.122484,1.122484,3.538188,4.195763,7.063199,7.063199,7.063199,3.463005e+00,4.037948,4.037948,4.037948,3.463005,4.037948,4.037948,4.037948,0.408610,0.788230,
23,3.080252,3.080252,3.080252,76.700035,1.122484,1.122484,1.122484,20.000000,5.262084,7.063199,7.063199,109.240998,3.578306e+00,3.578306,3.578306,15.159583,3.578306,3.578306,3.578306,15.159583,0.665650,0.788230,
24,3.080252,3.080252,3.080252,90.807676,1.122484,1.122484,1.122484,29.915309,7.063199,7.063199,7.063199,109.290375,3.545615e+00,3.545615,3.545615,16.916450,3.545615,3.545615,3.545615,16.916450,0.893100,0.788230,
25,3.080252,3.080252,90.807676,90.807676,1.122484,1.122484,41.081102,41.081102,7.063199,7.063199,204.484331,204.484331,3.632675e+00,3.632675,18.403641,18.403641,3.632675,3.632675,18.403641,18.403641,0.963000,0.788230,
26,76.700035,90.807676,90.807676,90.807676,20.000000,41.081102,41.081102,41.081102,109.240998,204.484331,204.484331,204.484331,1.743990e+01,18.491384,18.491384,18.491384,17.439902,18.491384,18.491384,18.491384,0.919010,0.788230,
27,90.807676,90.807676,90.807676,90.807676,41.081102,41.081102,41.081102,41.081102,204.484331,204.484331,204.484331,204.484331,1.873279e+01,18.732787,18.732787,18.732787,18.732787,18.732787,18.732787,18.732787,0.442920,0.788230,
28,76.000000,90.807676,90.807676,90.807676,17.266212,41.081102,41.081102,41.081102,29.489980,204.484331,204.484331,204.484331,1.825168e+01,18.776369,18.776369,18.776369,18.251675,18.776369,18.776369,18.776369,0.154080,0.788230,
29,76.000000,76.000000,90.807676,90.807676,13.043238,13.043238,41.081102,41.081102,29.489980,29.489980,204.484331,204.484331,1.706549e+01,17.065492,18.386733,18.386733,17.065492,17.065492,18.386733,18.386733,0.269700,0.788230,
30,76.000000,76.000000,90.807676,90.807676,13.043238,17.266212,41.081102,41.081102,29.489980,29.489980,204.484331,204.484331,1.526250e+01,15.262500,15.262500,15.262500,19.423000,19.423000,20.349999,20.349999,0.074014,0.788230,
31,3.080252,3.080252,8.723703,102.900000,1.122484,1.122484,3.538188,29.915309,5.262084,7.063199,7.063199,109.240998,3.603654e+00,3.603654,5.563580,14.400336,3.603654,3.603654,5.563580,14.400336,0.642210,0.788230,
32,3.080252,3.080252,3.080252,76.700035,1.122484,1.122484,1.122484,29.915309,7.063199,7.063199,7.063199,109.240998,4.051512e+00,4.051512,4.051512,17.001823,4.051512,4.051512,4.051512,17.001823,0.773560,0.788230,
33,3.080252,3.080252,3.080252,90.807676,1.122484,1.122484,1.122484,41.081102,7.063199,7.063199,7.063199,204.484331,3.726884e+00,3.726884,3.726884,18.318933,3.726884,3.726884,3.726884,18.318933,0.908610,0.788230,
34,3.080252,3.080252,90.807676,90.807676,1.122484,1.122484,41.081102,41.081102,7.063199,7.063199,204.484331,204.484331,3.751898e+00,3.751898,18.827481,18.827481,3.751898,3.751898,18.827481,18.827481,0.964270,0.788230,
35,3.080252,3.080252,3.080252,90.807676,1.122484,1.122484,1.122484,41.081102,7.063199,7.063199,7.063199,204.484331,3.643335e+00,3.643335,3.643335,18.069707,3.643335,3.643335,3.643335,18.069707,0.951040,0.788230,
36,3.080252,90.807676,90.807676,90.807676,1.122484,41.081102,41.081102,41.081102,7.063199,204.484331,204.484331,204.484331,3.843941e+00,19.290843,19.290843,19.290843,3.843941,19.290843,19.290843,19.290843,0.957860,0.788230,
37,76.000000,90.807676,90.807676,90.807676,13.043238,41.081102,41.081102,41.081102,29.489980,204.484331,204.484331,204.484331,1.844452e+01,19.303255,19.303255,19.303255,18.444524,19.303255,19.303255,19.303255,0.859780,0.788230,
38,76.000000,90.807676,90.807676,90.807676,13.043238,41.081102,41.081102,41.081102,29.489980,204.484331,204.484331,204.484331,1.773690e+01,19.458144,19.458144,19.458144,17.736901,19.458144,19.458144,19.458144,0.694380,0.788230,
