ClimateBin,Nrate25,Nrate50,Nrate75,Nrate95,P2O5rate25,P2O5rate50,P2O5rate75,P2O5rate95,K2Orate25,K2Orate50,K2Orate75,K2Orate95,ModYieldIrrOff25,ModYieldIrrOff50,ModYieldIrrOff75,ModYieldIrrOff95,ModYieldIrrOn25,ModYieldIrrOn50,ModYieldIrrOn75,ModYieldIrrOn95,ClimateBinR2,GlobalCropR2,
1,2.714589,13.383195,24.092487,208.861748,0.323452,4.239080,14.254104,107.627125,0.121095,0.564160,13.002270,76.101408,1.225200e+01,12.252000,12.252000,12.252000,14.577158,15.003206,24.752360,41.655540,0.706820,0.788230,
2,24.092487,24.092487,24.092487,208.861748,14.254104,14.254104,14.254104,63.639726,13.002270,13.002270,13.002270,34.967223,1.159140e+01,11.591400,11.591400,11.591400,21.612494,21.612494,21.612494,30.456880,0.551570,0.788230,
3,24.092487,24.092487,24.092487,208.861748,14.254104,14.254104,14.254104,107.627125,13.002270,13.002270,13.002270,76.101408,1.139819e+01,11.398190,11.398190,28.880990,11.398190,11.398190,11.398190,28.880990,0.623810,0.788230,
4,24.092487,24.092487,24.092487,246.226112,14.254104,14.254104,14.254104,85.397550,13.002270,13.002270,13.002270,44.469317,1.094877e+01,10.948773,10.948773,24.447252,10.948773,10.948773,10.948773,24.447252,0.660590,0.788230,
5,24.092487,24.092487,89.864485,208.861748,14.254104,14.254104,39.219715,107.627125,13.002270,13.002270,23.449787,76.101408,1.010306e+01,10.103061,15.995014,26.445056,10.103061,10.103061,15.995014,26.445056,0.497910,0.788230,
6,24.092487,24.092487,24.092487,139.408549,14.254104,14.254104,14.254104,82.079573,13.002270,13.002270,13.002270,76.101408,1.143939e+01,11.439389,11.439389,18.349786,11.439389,11.439389,11.439389,18.349786,0.540130,0.788230,
7,24.092487,24.092487,24.092487,89.864485,14.254104,14.254104,14.254104,82.079573,13.002270,13.002270,13.002270,48.882315,1.108473e+01,11.084730,11.084730,15.532219,11.084730,11.084730,11.084730,15.532219,0.509700,0.788230,
8,24.092487,24.092487,24.092487,89.864485,14.254104,14.254104,14.254104,82.079573,13.002270,13.002270,13.002270,99.999999,1.058631e+01,10.586310,10.586310,18.080852,10.586310,10.586310,10.586310,18.080852,0.284340,0.788230,
9,24.092487,24.092487,49.059974,127.300415,14.254104,14.254104,40.944318,82.079573,13.002270,13.002270,34.967223,136.520882,1.016666e+01,10.166664,12.671797,19.335251,10.166664,10.166664,12.671797,19.335251,0.220960,0.788230,
10,63.034519,90.843470,168.580727,261.077185,24.987298,40.944318,85.397550,150.000000,20.564673,29.567776,50.621299,221.528023,1.227190e+01,16.175425,24.635347,30.932600,12.271903,16.175425,24.635347,32.427787,0.605150,0.788230,
11,3.657222,24.092487,123.884309,246.226112,4.239080,14.254104,39.219715,107.627125,0.564160,13.002270,34.967223,76.101408,9.059554e+00,12.610590,19.952750,32.323489,9.059554,12.610590,19.952750,32.323489,0.654660,0.788230,
12,24.092487,123.884309,185.959738,291.738769,14.254104,39.219715,52.201669,107.627125,13.002270,20.151935,34.967223,76.101408,1.063884e+01,16.442087,18.785867,26.204777,10.638843,16.442087,18.785867,26.204777,0.568720,0.788230,
13,24.092487,24.092487,24.092487,290.153332,14.254104,14.254104,14.254104,85.397550,13.002270,13.002270,13.002270,34.967223,1.042726e+01,10.427265,10.427265,22.198296,10.427265,10.427265,10.427265,22.198296,0.616190,0.788230,
14,24.092487,24.092487,24.092487,24.092487,14.254104,14.254104,14.254104,14.254104,13.002270,13.002270,13.002270,13.002270,1.053266e+01,10.532657,10.532657,10.532657,10.532657,10.532657,10.532657,10.532657,0.475040,0.788230,
15,24.092487,24.092487,24.092487,73.705164,14.254104,14.254104,14.254104,24.376528,13.002270,13.002270,13.002270,48.882315,1.122778e+01,11.227775,11.227775,15.759001,11.227775,11.227775,11.227775,15.759001,0.517420,0.788230,
16,24.092487,24.092487,41.000000,41.000000,14.254104,14.254104,24.376528,24.376528,13.002270,13.002270,44.688968,136.520882,1.075589e+01,10.755894,11.877058,11.877058,10.755894,10.755894,11.877058,11.877058,0.248920,0.788230,
17,24.092487,24.092487,41.000000,49.059974,14.254104,14.254104,24.376528,24.376528,13.002270,13.002270,136.520882,136.520882,1.102924e+01,11.029235,12.601604,13.271006,11.029235,11.029235,12.601604,13.271006,0.240090,0.788230,
18,24.092487,41.000000,41.000000,49.059974,14.254104,24.376528,24.376528,45.330738,13.002270,44.688968,136.520882,136.520882,1.087484e+01,12.374847,12.374847,13.018075,10.874837,12.374847,12.374847,13.018075,0.211650,0.788230,
19,27.000000,41.000000,41.000000,95.037872,17.886256,24.376528,24.376528,45.330738,44.688968,136.520882,136.520882,136.520882,1.228859e+01,14.106012,14.106012,19.873213,12.288593,14.106012,14.106012,19.873213,0.296580,0.788230,
20,45.165006,107.627419,155.000000,261.077185,24.376528,40.944318,85.397550,134.533906,33.586558,44.688968,93.379455,221.528023,1.990393e+01,25.981649,35.943198,40.942101,19.903933,25.981649,35.943198,40.942101,0.668760,0.788230,
21,24.092487,123.884309,174.685572,208.861748,14.254104,39.219715,52.201669,107.627125,13.002270,34.967223,44.469317,76.101408,1.117620e+01,11.176200,11.176200,11.176200,18.428166,29.042578,32.332889,39.600082,0.769450,0.788230,
22,24.092487,123.884309,126.278937,208.861748,14.254104,39.219715,47.265932,107.627125,13.002270,32.588210,34.967223,76.101408,9.252554e+00,14.288139,15.610565,21.608800,9.252554,14.288139,15.610565,22.293400,0.549910,0.788230,
23,24.092487,24.092487,51.956099,95.037872,14.254104,14.254104,25.493638,42.753245,13.002270,13.002270,28.496964,34.967223,1.124641e+01,11.246409,14.110337,16.840455,11.246409,11.246409,14.110337,16.840455,0.535060,0.788230,
24,24.092487,24.092487,57.997506,123.884309,14.254104,14.254104,23.065672,52.080764,13.002270,13.002270,26.321247,136.520882,1.070623e+01,10.706230,17.703288,26.821066,10.706230,10.706230,17.703288,26.821066,0.785960,0.788230,
25,22.671663,24.092487,41.000000,107.627419,3.484622,14.254104,24.376528,36.419482,3.328972,13.002270,32.588210,136.520882,6.893187e+00,10.807579,15.533570,27.016012,6.893187,10.807579,15.533570,27.016012,0.703280,0.788230,
26,22.671663,24.092487,41.000000,82.163133,3.484622,14.254104,24.376528,26.669860,3.328972,13.002270,136.520882,136.520882,4.858715e+00,10.204472,14.742272,22.747179,4.858715,10.204472,14.742272,22.747179,0.662280,0.788230,
27,24.092487,41.000000,41.000000,62.830631,14.254104,24.376528,24.376528,24.376528,13.002270,136.520882,136.520882,136.520882,9.671992e+00,13.115664,13.115664,16.197875,9.671992,13.115664,13.115664,16.197875,0.339410,0.788230,
28,24.092487,41.000000,41.000000,90.843470,14.254104,24.376528,24.376528,36.419482,13.002270,106.719626,136.520882,136.520882,1.257278e+01,14.341070,14.341070,18.759317,12.572779,14.341070,14.341070,18.759317,0.308580,0.788230,
29,22.671663,26.582190,62.830631,156.646311,3.484622,14.567793,24.376528,67.025388,3.328972,16.294105,28.496964,142.582716,1.217354e+01,16.022638,19.206759,35.682962,12.173537,16.022638,19.206759,35.682962,0.762750,0.788230,
30,88.591990,116.499900,161.000000,238.302307,30.772229,64.529652,72.962245,134.533906,28.496964,78.316538,177.866043,340.404415,1.780542e+01,29.228863,39.697090,43.026605,17.805419,29.228863,39.697090,43.026605,0.797030,0.788230,
31,24.092487,123.884309,165.870460,208.861748,14.254104,39.219715,47.265932,107.627125,13.002270,32.588210,34.967223,76.101408,1.136130e+01,11.361300,11.361300,11.361300,17.971736,27.641152,28.551955,38.564009,0.699510,0.788230,
32,24.092487,51.956099,82.163133,123.884309,14.254104,21.851689,25.493638,42.753245,13.002270,30.081425,32.588210,34.967223,1.147950e+01,15.869182,18.165847,18.489891,11.479498,15.869182,18.165847,18.489891,0.549990,0.788230,
33,41.081567,51.956099,68.872038,123.884309,15.781776,21.851689,25.493638,42.753245,18.800890,30.081425,32.588210,106.719626,1.479220e+01,17.721216,19.438751,25.265070,14.792205,17.721216,19.438751,25.265070,0.623500,0.788230,
34,22.671663,24.092487,67.663757,123.884309,3.484622,14.254104,21.851689,42.753245,3.328972,13.002270,26.321247,106.719626,8.095425e+00,11.274464,18.347452,25.305238,8.095425,11.274464,18.347452,25.305238,0.665960,0.788230,
35,22.671663,22.671663,24.092487,68.872038,3.484622,3.484622,14.254104,24.987298,3.328972,3.328972,13.002270,37.601781,6.170122e+00,6.170122,11.180558,17.870834,6.170122,6.170122,11.180558,17.870834,0.522430,0.788230,
36,22.671663,22.671663,41.000000,68.872038,3.484622,3.484622,19.423724,24.987298,3.328972,3.328972,16.294105,136.520882,6.212526e+00,6.212526,14.954825,17.942471,6.212526,6.212526,14.954825,17.942471,0.391390,0.788230,
37,22.671663,22.671663,26.582190,67.663757,3.484622,3.484622,14.567793,24.987298,3.328972,3.328972,13.002270,136.520882,1.326265e+01,13.262651,14.652858,15.382400,13.262651,13.262651,14.652858,25.842078,0.672000,0.788230,
38,22.671663,22.671663,26.582190,159.865137,3.484622,3.484622,14.567793,65.209130,3.328972,3.328972,13.002270,177.866043,1.219099e+01,12.190987,15.488049,39.064589,12.190987,12.190987,15.488049,39.064589,0.877350,0.788230,
39,22.671663,26.582190,79.746571,159.865137,3.484622,14.567793,36.419482,80.720344,3.328972,16.294105,29.404822,177.866043,1.214935e+01,16.396108,20.132840,39.913275,12.149354,16.396108,20.132840,39.913275,0.900330,0.788230,
40,155.000000,159.865137,167.883641,208.861748,65.209130,66.390261,71.365173,134.494699,126.262725,177.866043,340.404415,340.404415,3.640024e+01,41.712617,42.414100,45.263212,36.400244,41.712617,42.414100,45.263212,0.791440,0.788230,
41,24.092487,126.278937,208.861748,244.524306,14.254104,42.753245,62.671344,107.627125,13.002270,34.967223,44.469317,76.101408,1.080165e+01,22.088392,28.229948,39.165140,10.801650,22.088392,28.229948,39.165140,0.632850,0.788230,
42,24.092487,24.092487,123.884309,185.959738,14.254104,14.254104,42.031475,54.115203,13.002270,13.002270,34.967223,51.793628,9.427498e+00,9.427498,14.995797,18.477795,9.427498,9.427498,14.995797,18.477795,0.528420,0.788230,
43,24.092487,68.872038,82.163133,123.884309,14.254104,15.781776,21.851689,43.777347,13.002270,18.800890,30.081425,34.967223,1.117114e+01,16.643967,18.785509,19.615635,11.171135,16.643967,18.785509,19.615635,0.630970,0.788230,
44,22.671663,47.887364,79.746571,155.000000,3.484622,15.781776,21.851689,105.161561,3.328972,18.800890,30.081425,106.719626,1.109518e+01,15.947884,19.067052,33.389147,11.095181,15.947884,19.067052,33.389147,0.798850,0.788230,
45,22.671663,22.671663,68.872038,155.000000,3.484622,3.484622,20.637707,134.494699,3.328972,3.328972,18.800890,221.528023,1.296625e+01,12.966254,17.230770,41.837936,12.966254,12.966254,17.230770,41.837936,0.837140,0.788230,
46,22.671663,22.671663,22.671663,155.000000,3.484622,3.484622,3.484622,134.494699,3.328972,3.328972,3.328972,142.582716,1.237817e+01,12.378169,12.378169,36.123519,12.378169,12.378169,12.378169,36.123519,0.764100,0.788230,
47,22.671663,22.671663,47.887364,155.000000,3.484622,3.484622,24.987298,134.494699,3.328972,3.328972,5.867752,221.528023,1.230295e+01,12.302951,12.967141,37.441800,12.302951,12.302951,12.967141,40.119331,0.836930,0.788230,
48,22.671663,22.671663,47.887364,155.000000,3.484622,3.484622,24.987298,134.494699,3.328972,3.328972,27.574639,221.528023,1.230559e+01,12.305590,18.789169,32.568800,12.305590,12.305590,18.789169,39.620473,0.765190,0.788230,
49,44.706411,53.791234,156.646311,169.962769,21.449179,24.987298,71.365173,134.494699,23.101728,29.404822,131.999999,340.404415,1.919548e+01,21.670383,43.137738,44.567545,19.195481,21.670383,43.137738,44.567545,0.624420,0.788230,
50,103.717081,159.865137,198.418072,219.578730,40.944318,71.365173,107.627125,184.357089,34.967223,76.101408,185.437741,340.404415,2.388380e+01,36.248803,37.546300,37.546300,23.883800,36.248803,41.200695,42.691321,0.525810,0.788230,
