ClimateBin,Nrate25,Nrate50,Nrate75,Nrate95,P2O5rate25,P2O5rate50,P2O5rate75,P2O5rate95,K2Orate25,K2Orate50,K2Orate75,K2Orate95,ModYieldIrrOff25,ModYieldIrrOff50,ModYieldIrrOff75,ModYieldIrrOff95,ModYieldIrrOn25,ModYieldIrrOn50,ModYieldIrrOn75,ModYieldIrrOn95,ClimateBinR2,GlobalCropR2,
1,143.705798,178.007171,200.299987,203.626499,40.360172,46.639903,56.947275,66.547174,18.649186,21.654990,27.623268,30.988786,7.287684e+00,7.565336,8.031632,8.251869,7.287684,7.565336,8.031632,8.251869,0.323550,0.788230,
2,192.824193,195.437215,239.509664,239.509664,49.788094,65.881627,71.308573,71.308573,21.654990,31.081976,31.081976,45.901958,7.304299e+00,7.333997,7.788928,7.788928,7.304299,7.333997,7.788928,7.788928,0.391460,0.788230,
3,192.824193,195.437215,239.509664,239.509664,65.033136,65.881627,71.308573,78.990566,21.488969,31.081976,31.081976,48.198181,4.979900e+00,4.979900,4.979900,4.979900,7.315983,7.346562,7.811953,7.811953,0.547180,0.788230,
4,143.705798,192.824193,239.509664,239.509664,42.785144,65.881627,71.308573,71.308573,18.649186,31.081976,31.081976,31.081976,6.708862e+00,6.709000,6.709000,6.709000,6.708862,7.536733,8.180669,8.180669,0.646910,0.788230,
5,147.668482,239.509664,239.509664,239.509664,42.785144,66.547174,71.308573,71.308573,18.649186,31.081976,31.081976,31.081976,6.388400e+00,6.388400,6.388400,6.388400,6.887459,8.118467,8.118467,8.118467,0.719510,0.788230,
6,143.705798,192.824193,239.509664,239.509664,42.785144,65.881627,71.308573,81.264261,18.649186,27.020761,31.081976,80.000000,6.215300e+00,6.215300,6.215300,6.215300,6.542068,7.179917,7.629432,7.629432,0.631130,0.788230,
7,143.705798,169.225829,178.007171,239.509664,42.785144,42.785144,66.547174,81.264261,18.649186,27.020761,38.050704,80.000000,4.784700e+00,4.784700,4.784700,4.784700,5.994400,6.352678,6.459365,7.022894,0.221910,0.788230,
8,143.705798,169.225829,178.007171,192.824193,40.360172,42.785144,81.264261,109.425148,18.649186,38.050704,80.000000,80.000000,5.397639e+00,6.470031,6.758135,6.839130,5.397639,6.470031,6.758135,6.839130,0.337630,0.788230,
9,143.705798,143.705798,169.225829,239.509664,42.785144,42.785144,81.264261,109.425148,18.649186,20.589724,61.681842,80.000000,5.440109e+00,5.440109,6.544608,6.873987,5.440109,5.440109,6.544608,6.873987,0.321910,0.788230,
10,78.000000,143.705798,161.406390,217.536052,42.785144,57.584873,81.264261,109.425148,18.649186,22.000000,61.681842,80.000000,5.385310e+00,5.421800,5.421800,5.421800,5.385310,5.680617,6.879622,6.960352,0.619610,0.788230,
11,143.705798,143.705798,147.668482,239.509664,42.785144,42.785144,42.785144,65.033136,18.649186,18.649186,19.284792,21.488969,7.673161e+00,7.673161,7.673161,8.586943,7.673161,7.673161,7.673161,8.586943,0.274240,0.788230,
12,143.705798,143.705798,239.509664,239.509664,42.785144,42.785144,65.033136,65.033136,18.649186,18.649186,21.488969,21.488969,6.829626e+00,6.829626,7.367668,7.367668,6.829626,6.829626,7.367668,7.367668,0.005699,0.788230,
13,143.705798,161.406390,239.509664,239.509664,42.785144,65.033136,65.033136,67.303999,18.649186,21.488969,21.488969,31.081976,5.118200e+00,5.118200,5.118200,5.118200,5.658725,6.455041,6.455041,6.516964,0.165670,0.788230,
14,143.705798,143.705798,192.824193,239.509664,42.785144,42.785144,65.033136,65.881627,19.284792,20.589724,22.000000,38.050704,5.633800e+00,5.633800,5.633800,5.633800,5.738865,5.738865,6.119639,6.403601,0.143840,0.788230,
15,143.705798,143.705798,161.406390,239.509664,42.785144,42.785144,42.785144,65.881627,20.589724,20.589724,21.488969,31.081976,5.612269e+00,5.612269,5.748660,6.220878,5.612269,5.612269,5.748660,6.220878,0.211510,0.788230,
16,143.705798,143.705798,161.406390,239.509664,42.785144,42.785144,42.785144,65.033136,19.284792,20.589724,20.589724,31.081976,5.879967e+00,5.879967,6.040517,6.620034,5.879967,5.879967,6.040517,6.620034,0.228090,0.788230,
17,143.705798,143.705798,161.406390,239.509664,42.785144,42.785144,42.785144,65.033136,19.284792,20.589724,20.589724,22.000000,5.722300e+00,5.722300,5.722300,5.722300,5.803197,5.927394,5.927394,6.050995,0.268770,0.788230,
18,143.705798,143.705798,143.705798,179.169939,42.785144,42.785144,42.785144,57.584873,19.284792,20.589724,20.589724,31.081976,5.603700e+00,5.603700,5.603700,5.603700,5.884059,6.002239,6.002239,6.507144,0.323660,0.788230,
19,143.705798,143.705798,161.406390,217.536052,42.785144,42.785144,42.785144,71.308573,18.649186,19.284792,20.589724,31.081976,5.673000e+00,5.673000,5.673000,5.673000,5.957213,5.961079,6.140185,6.690931,0.429980,0.788230,
20,143.705798,143.705798,217.536052,217.536052,42.785144,42.785144,71.308573,71.308573,19.284792,19.284792,31.081976,31.081976,5.091317e+00,5.091317,5.117900,5.117900,5.091317,5.091317,5.829503,5.829503,0.580740,0.788230,
21,1.913232,55.800000,141.300000,217.536052,0.293055,23.802285,47.000000,71.308573,0.000000,0.222187,18.649186,31.081976,9.785596e-01,3.906634,5.805758,6.532714,0.978560,3.906634,5.805758,6.532714,0.573760,0.788230,
22,36.000000,40.000000,137.122092,217.536052,14.281371,25.903343,47.000000,71.308573,5.559608,9.800000,23.000000,31.081976,2.715764e+00,3.312536,4.659769,5.207218,2.715764,3.312536,4.659769,5.207218,0.428410,0.788230,
23,38.003917,60.379086,143.705798,217.536052,14.281371,37.000000,57.584873,71.308573,7.654121,22.000000,31.081976,31.081976,2.977241e+00,4.482206,5.081690,5.081690,2.977241,4.482206,5.081690,5.081690,0.560620,0.788230,
24,40.000000,143.705798,143.705798,179.169939,37.000000,43.959012,57.584873,57.584873,19.284792,26.143136,31.081976,31.081976,4.363780e+00,5.066366,5.340000,5.340000,4.363780,5.066366,5.392778,5.392778,0.539130,0.788230,
25,103.500000,143.705798,179.169939,179.169939,37.000000,47.302148,57.584873,57.584873,22.000000,29.531981,31.081976,31.081976,4.725755e+00,5.367335,5.680600,5.680600,4.725755,5.367335,5.816631,5.816631,0.597350,0.788230,
26,63.339861,143.705798,179.169939,179.169939,40.500000,47.302148,57.584873,57.584873,22.000000,29.531981,31.081976,31.081976,4.013728e+00,5.471682,5.895513,5.895513,4.013728,5.471682,5.895513,5.895513,0.592400,0.788230,
27,103.500000,143.705798,179.169939,217.536052,40.500000,47.302148,49.000000,71.308573,22.000000,29.531981,29.743399,31.081976,4.776008e+00,5.397779,5.822424,5.909970,4.776008,5.397779,5.822424,5.909970,0.436440,0.788230,
28,94.500000,143.705798,179.169939,179.169939,37.000000,47.302148,47.302148,57.584873,22.000000,29.531981,29.531981,31.081976,5.152997e+00,5.389500,5.389500,5.389500,5.152997,5.888759,5.888759,6.029672,0.274830,0.788230,
29,43.350000,94.500000,179.169939,179.169939,10.760672,14.281371,47.302148,49.000000,4.319862,6.192896,29.531981,31.081976,3.424840e+00,4.187776,4.306300,4.306300,3.424840,4.187776,5.222664,5.276406,0.376330,0.788230,
30,38.003917,43.350000,94.500000,103.500000,10.760672,10.760672,14.281371,36.589434,4.319862,5.559608,6.192896,26.143136,3.021731e+00,3.201412,4.337700,4.337700,3.021731,3.201412,4.444576,4.594626,0.542680,0.788230,
31,51.375887,141.300000,141.300000,141.300000,7.028580,58.500000,58.500000,58.500000,0.000000,0.000000,0.222187,8.870333,2.816160e+00,5.323862,5.323862,5.323862,2.816160,5.323862,5.323862,5.323862,0.730510,0.788230,
32,141.300000,141.300000,141.300000,163.200000,52.800000,58.500000,58.500000,58.500000,0.000000,0.000000,0.000000,9.266013,4.284400e+00,4.284400,4.284400,4.284400,5.181987,5.371886,5.371886,5.371886,0.445040,0.788230,
33,55.800000,108.300000,141.300000,163.200000,23.802285,44.600000,58.500000,58.500000,0.000000,2.200000,8.870333,26.143136,2.781165e+00,3.219000,3.219000,3.219000,2.781165,4.006154,4.624514,4.624514,0.569910,0.788230,
