ClimateBin,Nrate25,Nrate50,Nrate75,Nrate95,P2O5rate25,P2O5rate50,P2O5rate75,P2O5rate95,K2Orate25,K2Orate50,K2Orate75,K2Orate95,ModYieldIrrOff25,ModYieldIrrOff50,ModYieldIrrOff75,ModYieldIrrOff95,ModYieldIrrOn25,ModYieldIrrOn50,ModYieldIrrOn75,ModYieldIrrOn95,ClimateBinR2,GlobalCropR2,
1,12.951377,12.951377,54.716914,79.285958,3.105415,3.105415,9.398492,17.827143,2.518992,7.364023,7.364023,9.324593,1.358836e+00,1.835700,1.835700,1.835700,1.358836,1.909686,1.909686,2.079720,0.023487,0.788230,
2,12.951377,12.951377,12.951377,54.716914,3.105415,3.105415,3.105415,9.790727,7.364023,7.364023,7.364023,7.364023,9.614735e-01,0.961473,0.961473,0.961473,0.961473,0.961473,0.961473,0.961473,0.213400,0.788230,
3,12.951377,12.951377,12.951377,79.285958,3.105415,3.105415,3.105415,17.827143,7.364023,7.364023,7.364023,7.364023,1.185534e+00,1.185534,1.185534,1.185534,1.185534,1.185534,1.185534,1.185534,0.138720,0.788230,
4,12.951377,12.951377,12.951377,89.864485,3.105415,3.105415,3.105415,23.000000,7.364023,7.364023,7.364023,27.000000,1.246344e+00,1.246344,1.246344,1.993600,1.246344,1.246344,1.246344,2.761395,0.070068,0.788230,
5,12.951377,12.951377,12.951377,89.864485,3.105415,3.105415,3.105415,19.130225,7.364023,7.364023,7.364023,19.980960,6.887783e-01,0.688778,0.688778,2.233474,0.688778,0.688778,0.688778,2.233474,0.388910,0.788230,
6,12.951377,12.951377,12.951377,37.248785,3.105415,3.105415,3.105415,16.415915,7.364023,7.364023,7.364023,19.980960,7.232189e-01,0.723219,0.723219,1.293738,0.723219,0.723219,0.723219,1.293738,0.260620,0.788230,
7,12.951377,12.951377,12.951377,79.285958,3.105415,3.105415,3.105415,22.284743,7.364023,7.364023,7.364023,19.980960,1.699835e+00,1.699835,1.699835,1.933200,1.699835,1.699835,1.699835,2.205216,0.013199,0.788230,
8,12.951377,12.951377,12.951377,51.218714,3.105415,3.105415,3.105415,22.360000,7.364023,7.364023,7.364023,29.240000,1.781345e+00,1.781345,1.781345,1.977900,1.781345,1.781345,1.781345,2.197119,0.035788,0.788230,
9,12.951377,12.951377,12.951377,89.864485,3.105415,3.105415,3.105415,23.000000,7.364023,7.364023,7.364023,29.240000,1.786943e+00,1.786943,1.786943,1.977200,1.786943,1.786943,1.786943,2.314828,0.047385,0.788230,
10,12.951377,12.951377,37.248785,89.864485,3.105415,3.105415,16.415915,23.000000,7.364023,7.364023,19.208210,29.240000,2.117600e+00,2.117600,2.117600,2.117600,2.730200,2.730200,3.499987,3.843044,0.011379,0.788230,
11,12.951377,12.951377,12.951377,54.716914,3.105415,3.105415,3.105415,9.790727,2.518992,7.364023,7.364023,7.364023,1.247261e+00,1.247261,1.247261,1.583100,1.247261,1.247261,1.247261,2.311643,0.038905,0.788230,
12,12.951377,12.951377,12.951377,79.285958,3.105415,3.105415,3.105415,21.206878,7.364023,7.364023,7.364023,7.364023,8.348894e-01,0.834889,0.834889,1.923500,0.834889,0.834889,0.834889,2.067520,0.226400,0.788230,
13,12.951377,12.951377,12.951377,79.285958,3.105415,3.105415,3.105415,16.415915,7.364023,7.364023,7.364023,15.066128,1.694301e+00,1.694301,1.694301,3.309977,1.694301,1.694301,1.694301,3.309977,0.036837,0.788230,
14,12.951377,12.951377,12.951377,12.951377,3.105415,3.105415,3.105415,3.105415,7.364023,7.364023,7.364023,7.364023,1.293095e+00,1.293095,1.293095,1.293095,1.293095,1.293095,1.293095,1.293095,0.030364,0.788230,
15,12.951377,12.951377,12.951377,12.951377,3.105415,3.105415,3.105415,3.105415,7.364023,7.364023,7.364023,7.364023,9.421438e-01,0.942144,0.942144,0.942144,0.942144,0.942144,0.942144,0.942144,0.030757,0.788230,
16,12.951377,12.951377,12.951377,12.951377,3.105415,3.105415,3.105415,3.105415,7.364023,7.364023,7.364023,7.364023,9.002164e-01,0.900216,0.900216,0.900216,0.900216,0.900216,0.900216,0.900216,0.019470,0.788230,
17,12.951377,12.951377,12.951377,12.951377,3.105415,3.105415,3.105415,3.105415,7.364023,7.364023,7.364023,7.364023,1.189793e+00,1.189793,1.189793,1.189793,1.189793,1.189793,1.189793,1.189793,0.038810,0.788230,
18,12.951377,12.951377,47.000000,47.000000,3.105415,3.105415,12.188264,15.554550,7.364023,7.364023,83.362308,83.362308,2.057300e+00,2.057300,2.057300,2.057300,2.089784,2.089784,2.665179,2.665179,0.012063,0.788230,
19,12.951377,47.000000,47.000000,47.000000,3.105415,12.188264,12.188264,14.532583,7.364023,83.362308,83.362308,83.362308,1.902000e+00,1.902000,1.902000,1.902000,2.132710,2.589270,2.589270,2.589270,-0.013791,0.788230,
20,12.951377,21.000000,47.000000,95.696347,3.105415,12.188264,14.532583,18.383518,3.799595,11.458710,24.193832,83.362308,1.932048e+00,2.152927,2.782900,3.681462,1.932048,2.152927,2.782900,3.681462,0.403070,0.788230,
21,12.951377,12.951377,12.951377,79.285958,3.105415,3.105415,3.105415,17.827143,7.364023,7.364023,7.364023,9.324593,6.415854e-01,0.641585,0.641585,0.717658,0.641585,0.641585,0.641585,0.717658,0.205420,0.788230,
