ClimateBin,Nrate25,Nrate50,Nrate75,Nrate95,P2O5rate25,P2O5rate50,P2O5rate75,P2O5rate95,K2Orate25,K2Orate50,K2Orate75,K2Orate95,ModYieldIrrOff25,ModYieldIrrOff50,ModYieldIrrOff75,ModYieldIrrOff95,ModYieldIrrOn25,ModYieldIrrOn50,ModYieldIrrOn75,ModYieldIrrOn95,ClimateBinR2,GlobalCropR2,
1,58.275179,58.275179,58.275179,82.172093,48.917681,48.917681,53.324956,65.109718,13.707152,13.707152,13.707152,17.431972,1.208274e+00,1.208274,1.208274,1.279266,1.208274,1.208274,1.208274,1.279266,0.051515,0.788230,
2,33.000000,58.275179,58.275179,59.401612,26.757314,48.917681,53.324956,58.953507,13.707152,13.707152,13.707152,14.379330,1.463407e+00,1.463407,1.463407,1.491818,1.463407,1.463407,1.463407,1.491818,0.202500,0.788230,
3,32.415419,33.000000,58.275179,58.275179,20.494964,26.757314,48.917681,53.324956,6.825367,13.707152,14.175763,36.751977,1.361980e+00,1.550568,1.562583,2.036703,1.361980,1.550568,1.562583,2.036703,0.444080,0.788230,
4,33.000000,33.000000,58.275179,58.275179,20.494964,22.772182,53.324956,53.324956,6.825367,13.707152,13.707152,36.751977,1.341683e+00,1.590098,1.590098,2.133816,1.341683,1.590098,1.590098,2.133816,0.455190,0.788230,
5,21.000000,58.275179,58.275179,58.275179,22.772182,53.324956,53.324956,53.324956,13.707152,13.707152,20.303102,36.751977,2.131800e+00,2.131800,2.131800,2.131800,2.169753,2.169753,2.273725,2.475210,0.341230,0.788230,
6,21.000000,26.000000,58.275179,58.275179,22.772182,26.757314,53.324956,53.324956,13.707152,14.175763,36.751977,36.751977,2.260447e+00,2.265600,2.265600,2.265600,2.260447,2.283234,2.777594,2.777594,0.308280,0.788230,
7,21.000000,32.751444,58.275179,81.225098,22.772182,43.097560,53.324956,67.496417,13.707152,13.707152,36.751977,36.751977,2.043730e+00,2.043730,2.321700,2.321700,2.043730,2.043730,2.683332,2.683332,0.449920,0.788230,
8,21.000000,21.000000,21.000000,81.225098,22.772182,22.772182,28.465227,67.496417,36.751977,36.751977,47.777570,47.777570,2.584100e+00,2.584100,2.584100,2.584100,2.685196,2.685196,2.711055,2.980677,0.328040,0.788230,
9,18.000000,21.000000,24.397637,30.000000,19.925659,22.507846,22.772182,34.158273,35.685718,36.751977,45.677457,47.777570,2.275517e+00,2.285371,2.364165,2.381779,2.275517,2.285371,2.364165,2.381779,0.473480,0.788230,
10,24.397637,24.397637,26.478034,59.882115,22.507846,22.507846,30.522655,48.917681,35.685718,35.685718,35.685718,44.627401,2.364113e+00,2.364113,2.484993,2.596090,2.364113,2.364113,2.484993,2.596090,0.538840,0.788230,
