ClimateBin,Nrate25,Nrate50,Nrate75,Nrate95,P2O5rate25,P2O5rate50,P2O5rate75,P2O5rate95,K2Orate25,K2Orate50,K2Orate75,K2Orate95,ModYieldIrrOff25,ModYieldIrrOff50,ModYieldIrrOff75,ModYieldIrrOff95,ModYieldIrrOn25,ModYieldIrrOn50,ModYieldIrrOn75,ModYieldIrrOn95,ClimateBinR2,GlobalCropR2,
1,31.219835,118.928936,119.920621,159.235641,11.579149,22.658342,46.350572,65.433124,7.470484,16.318038,18.518680,32.042698,2.529513e+01,35.043555,37.025548,46.306147,25.295128,35.043555,37.025548,46.306147,0.593600,0.788230,
2,31.219835,118.928936,119.920621,154.053404,16.993757,27.420270,46.698115,64.744092,11.898377,16.318038,29.930455,32.042698,2.574329e+01,29.245980,38.005731,39.130759,25.743290,29.245980,38.005731,39.130759,0.552410,0.788230,
3,31.219835,85.156950,118.928936,154.053404,11.579149,38.330599,50.526562,77.830192,7.470484,16.318038,29.872291,69.999999,2.106391e+01,27.138671,33.564200,33.564200,21.063911,27.138671,33.564562,41.829573,0.532710,0.788230,
4,31.219835,31.219835,85.156950,167.962108,11.579149,11.579149,43.775772,80.000000,7.470484,7.470484,24.032024,105.462895,1.919069e+01,19.190692,28.671851,36.416884,19.190692,19.190692,28.671851,36.416884,0.680660,0.788230,
5,31.219835,31.219835,96.485156,167.962108,11.579149,11.579149,46.698115,80.000000,7.470484,7.470484,29.930455,105.462895,1.798436e+01,17.984357,30.447907,35.612200,17.984357,17.984357,30.447907,45.515399,0.762460,0.788230,
6,31.219835,90.000000,154.053404,167.962108,11.579149,29.450549,50.526562,80.000000,7.470484,52.710065,69.999999,124.085877,1.881292e+01,38.687046,38.820200,38.820200,18.812923,38.687046,43.063718,49.527994,0.714410,0.788230,
7,31.219835,57.000000,154.053404,167.962108,11.579149,26.829384,43.775772,80.000000,7.470484,52.710065,69.999999,147.394226,1.866164e+01,32.044835,36.192200,36.192200,18.661644,32.044835,40.373822,47.721772,0.725310,0.788230,
8,90.000000,112.544849,167.962108,267.278351,24.376528,29.450549,80.000000,143.733423,52.924007,105.462895,124.085877,147.394226,3.375766e+01,35.517600,35.517600,35.517600,33.757658,36.438464,47.199626,50.041850,0.273950,0.788230,
9,89.689516,112.544849,167.962108,267.278351,26.669860,43.775772,43.775772,143.733423,52.924007,97.303188,105.462895,147.394226,4.493326e+01,45.929100,45.929100,45.929100,44.933263,48.346668,52.295712,58.629933,0.238020,0.788230,
10,89.689516,89.689516,140.812825,176.000000,26.669860,26.669860,52.000000,107.606868,52.924007,52.924007,115.121896,162.171981,5.336922e+01,53.369219,60.604931,63.658614,53.369219,53.369219,60.604931,63.658614,0.329700,0.788230,
11,118.928936,118.928936,119.920621,121.227779,22.658342,22.658342,50.526562,61.692881,16.318038,20.752348,32.042698,32.042698,2.896940e+01,32.712951,40.397950,40.397950,28.969401,32.712951,40.397950,40.397950,0.553410,0.788230,
12,89.940465,118.928936,119.920621,119.920621,22.139276,22.658342,22.658342,50.526562,24.032024,29.872291,32.042698,32.042698,2.523835e+01,26.276903,26.649274,26.649274,25.238346,26.276903,26.649274,26.649274,0.604420,0.788230,
13,31.219835,31.219835,112.544849,119.920621,11.579149,11.579149,43.777347,50.526562,7.470484,7.470484,24.032024,53.194333,1.952127e+01,19.521270,29.188458,37.924167,19.521270,19.521270,29.188458,37.924167,0.567910,0.788230,
14,31.219835,31.219835,148.618609,219.907210,11.579149,11.579149,50.526562,66.769051,7.470484,7.470484,66.429813,134.943753,1.703485e+01,17.034849,37.677698,44.425265,17.034849,17.034849,37.677698,44.425265,0.839070,0.788230,
15,31.219835,96.485156,170.230748,219.907210,11.579149,29.450549,50.526562,59.485154,7.470484,24.032024,66.429813,134.943753,1.944238e+01,31.258206,39.593900,39.593900,19.442375,31.258206,45.790484,50.475310,0.735070,0.788230,
16,31.219835,89.689516,112.544849,188.968395,11.579149,22.139276,43.775772,59.068744,7.470484,16.318038,53.194333,134.943753,2.077908e+01,26.946675,41.683100,41.683100,20.779083,26.946675,42.954326,52.036164,0.735080,0.788230,
17,31.219835,31.219835,89.689516,187.283613,11.579149,11.579149,24.376528,50.526562,7.470484,7.470484,52.924007,147.394226,1.947234e+01,19.472337,37.666182,42.167100,19.472337,19.472337,37.666182,48.323626,0.740370,0.788230,
18,31.219835,31.219835,90.000000,187.283613,11.579149,11.579149,24.376528,59.068744,7.470484,7.470484,77.710347,147.394226,1.864324e+01,18.643240,32.456405,44.014516,18.643240,18.643240,32.456405,44.014516,0.716540,0.788230,
19,85.156950,112.544849,165.574607,188.968395,24.376528,44.917361,61.869765,93.476671,24.032024,88.990881,124.085877,162.171981,3.064810e+01,46.867464,52.236194,56.345192,30.648098,46.867464,52.236194,56.345192,0.683450,0.788230,
20,114.064014,140.000000,165.574607,188.968395,48.312571,64.529652,65.209130,106.517429,115.121896,137.070760,162.171981,162.171981,5.670300e+01,56.703000,56.703000,56.703000,57.924660,61.692810,64.616632,66.745539,0.387850,0.788230,
21,118.928936,119.920621,119.920621,119.920621,22.658342,22.658342,50.526562,55.859737,16.318038,29.930455,32.042698,32.042698,3.259966e+01,40.656754,41.685017,41.685017,32.599657,40.656754,41.685017,41.685017,0.448770,0.788230,
22,31.219835,112.544849,130.494388,219.907210,11.579149,22.658342,50.526562,66.769051,7.470484,24.032024,66.429813,82.723918,2.098464e+01,33.015767,38.319650,39.330500,20.984639,33.015767,38.319650,45.535109,0.617530,0.788230,
