ClimateBin,Nrate25,Nrate50,Nrate75,Nrate95,P2O5rate25,P2O5rate50,P2O5rate75,P2O5rate95,K2Orate25,K2Orate50,K2Orate75,K2Orate95,ModYieldIrrOff25,ModYieldIrrOff50,ModYieldIrrOff75,ModYieldIrrOff95,ModYieldIrrOn25,ModYieldIrrOn50,ModYieldIrrOn75,ModYieldIrrOn95,ClimateBinR2,GlobalCropR2,
1,44.000000,62.520163,155.813822,155.813822,3.401826,21.063398,51.120076,53.481429,10.818556,10.818556,55.987865,98.000000,6.997239e+01,69.972386,80.953417,89.208381,69.972386,69.972386,80.953417,89.208381,0.076345,0.788230,
2,44.000000,104.429413,104.429413,152.760498,3.401826,53.100000,53.100000,53.481429,10.818556,36.000000,125.400000,125.400000,6.435847e+01,71.368382,76.170800,76.170800,64.358465,71.368382,89.147941,89.147941,-0.020992,0.788230,
3,44.000000,104.429413,114.268410,155.813822,3.401826,28.849016,53.100000,53.481429,10.818556,30.304927,55.987865,125.400000,5.858013e+01,60.312300,60.312300,60.312300,58.580133,74.560698,87.348560,100.344729,-0.046220,0.788230,
4,61.000000,104.429413,148.661171,212.199409,53.100000,53.481429,57.000000,79.107679,30.304927,93.313108,118.000000,125.400000,6.645409e+01,67.942400,67.942400,67.942400,66.454093,76.408685,79.732510,80.672557,0.140390,0.788230,
5,61.000000,61.000000,148.661171,212.199409,53.481429,57.000000,57.000000,79.107679,30.449203,118.000000,118.000000,118.000000,6.574024e+01,72.398200,72.398200,72.398200,65.740242,80.538094,80.538094,80.538094,0.125360,0.788230,
6,61.000000,61.000000,76.000000,152.760498,53.481429,57.000000,57.000000,57.000000,113.000000,118.000000,118.000000,118.000000,7.676579e+01,77.290456,77.290456,77.290456,76.765789,77.290456,77.290456,77.290456,0.191590,0.788230,
7,61.000000,76.000000,148.661171,166.972127,45.000000,53.481429,57.000000,71.981091,30.449203,96.956145,118.000000,118.000000,6.115289e+01,71.742557,74.352678,74.352678,61.152890,71.742557,74.352678,74.352678,0.129510,0.788230,
8,76.000000,124.917313,124.917313,152.760498,21.415426,21.415426,57.000000,71.981091,50.508211,96.956145,96.956145,118.000000,6.424651e+01,70.985652,70.985652,73.526767,64.246514,70.985652,70.985652,73.526767,0.092108,0.788230,
9,116.537470,124.917313,148.661171,152.760498,21.415426,21.415426,53.481429,71.981091,36.000000,96.956145,96.956145,118.000000,6.652678e+01,73.265207,75.748367,78.230742,66.526784,73.265207,75.748367,78.230742,0.023448,0.788230,
10,61.000000,76.000000,148.661171,185.348212,21.415426,45.000000,53.481429,71.981091,17.885377,36.000000,96.956145,113.000000,5.596470e+01,55.964700,55.964700,55.964700,59.428438,68.062330,82.212175,84.598611,0.293730,0.788230,
