ClimateBin,Nrate25,Nrate50,Nrate75,Nrate95,P2O5rate25,P2O5rate50,P2O5rate75,P2O5rate95,K2Orate25,K2Orate50,K2Orate75,K2Orate95,ModYieldIrrOff25,ModYieldIrrOff50,ModYieldIrrOff75,ModYieldIrrOff95,ModYieldIrrOn25,ModYieldIrrOn50,ModYieldIrrOn75,ModYieldIrrOn95,ClimateBinR2,GlobalCropR2,
1,2.088723,2.088723,7.958408,159.235641,0.381388,1.438825,1.438825,85.566393,0.060916,0.060916,0.150972,16.931365,8.303226e-01,0.830323,1.191659,3.611301,0.830323,0.830323,1.191659,3.611301,0.575930,0.788230,
2,2.088723,2.088723,13.759769,54.716914,1.438825,1.438825,4.838116,12.727945,0.060916,0.060916,1.403944,1.511395,8.940770e-01,0.894077,1.217762,1.652553,0.894077,0.894077,1.217762,1.652553,0.424970,0.788230,
3,2.088723,13.759769,41.687782,54.716914,1.438825,4.838116,12.727945,12.727945,0.113809,1.403944,1.511395,1.511395,9.262040e-01,1.309712,1.825185,1.825185,0.926204,1.309712,1.825185,1.825185,0.569130,0.788230,
4,13.759769,13.759769,41.687782,54.716914,4.838116,4.838116,12.727945,12.727945,1.403944,1.403944,1.511395,1.511395,1.289614e+00,1.289614,1.906933,2.055111,1.289614,1.289614,1.906933,2.055111,0.646810,0.788230,
5,13.759769,41.687782,41.687782,56.000000,4.838116,12.218040,12.727945,17.079136,1.403944,1.511395,1.511395,8.400452,1.306904e+00,2.018356,2.018356,2.227894,1.306904,2.018356,2.018356,2.227894,0.665830,0.788230,
6,13.759769,41.687782,54.716914,56.000000,4.838116,12.218040,12.727945,17.079136,1.403944,1.511395,1.511395,8.400452,1.373481e+00,2.111676,2.369821,2.392815,1.373481,2.111676,2.369821,2.392815,0.755970,0.788230,
7,13.759769,41.687782,54.716914,118.928936,4.838116,12.218040,12.727945,22.202877,1.403944,1.511395,1.511395,14.919349,1.415678e+00,2.196934,2.462458,3.218449,1.415678,2.196934,2.462458,3.218449,0.752410,0.788230,
8,13.759769,41.687782,56.000000,118.928936,4.838116,12.218040,17.079136,60.612287,1.403944,1.511395,2.128672,14.919349,1.400633e+00,2.293254,2.577000,2.577000,1.400633,2.293254,2.604778,3.327458,0.643260,0.788230,
9,13.759769,50.284634,64.830837,118.928936,4.838116,12.218040,20.392508,66.073196,1.403944,1.403944,2.128672,15.066128,1.210632e+00,2.268937,2.608021,3.561130,1.210632,2.268937,2.608021,3.561130,0.604910,0.788230,
10,13.759769,13.759769,72.000000,188.851381,4.838116,4.838116,21.676072,60.612287,1.403944,1.403944,7.487531,30.000000,1.246271e+00,1.246271,2.872795,4.404013,1.246271,1.246271,2.872795,4.404013,0.599780,0.788230,
11,2.088723,2.088723,13.759769,118.928936,1.438825,1.438825,4.838116,60.612287,0.060916,0.060916,1.403944,14.919349,8.014886e-01,0.801489,1.226438,3.444874,0.801489,0.801489,1.226438,3.444874,0.561810,0.788230,
12,2.088723,2.088723,13.759769,56.000000,1.438825,1.438825,4.838116,17.079136,0.060916,0.060916,1.403944,8.400452,1.006867e+00,1.006867,1.341529,2.037539,1.006867,1.006867,1.341529,2.037539,0.596450,0.788230,
13,2.088723,13.759769,41.687782,56.000000,1.438825,4.838116,12.727945,17.079136,0.060916,1.403944,1.511395,8.400452,1.006838e+00,1.332109,1.806038,1.944151,1.006838,1.332109,1.806038,1.944151,0.691600,0.788230,
14,2.088723,41.687782,41.687782,78.000000,1.438825,12.218040,12.727945,18.787050,0.060916,1.511395,1.511395,9.975537,1.009361e+00,1.823708,1.823708,2.090340,1.009361,1.823708,1.823708,2.090340,0.601880,0.788230,
15,13.759769,41.687782,56.000000,118.928936,4.838116,12.727945,17.079136,60.612287,1.403944,1.511395,8.400452,14.919349,1.258275e+00,1.770702,1.948700,1.948700,1.258275,1.770702,1.975334,2.561206,0.463750,0.788230,
16,64.830837,78.000000,78.000000,78.000000,17.079510,18.787050,18.787050,25.351220,2.128672,9.975537,9.975537,9.975537,1.915395e+00,2.020265,2.020265,2.020265,1.915395,2.020265,2.020265,2.020265,0.330770,0.788230,
17,50.284634,64.830837,96.000000,118.928936,17.079510,18.787050,21.633573,66.073196,1.403944,2.128672,14.919349,18.375988,1.880087e+00,2.143247,2.457646,2.618274,1.880087,2.143247,2.457646,2.618274,0.392690,0.788230,
18,13.759769,13.759769,13.759769,118.928936,4.838116,4.838116,4.838116,24.790064,1.403944,1.403944,1.403944,18.375988,1.815656e+00,1.815656,1.815656,2.906000,1.815656,1.815656,1.815656,3.111473,0.328260,0.788230,
19,13.759769,13.759769,47.000000,130.068207,4.838116,4.838116,16.768365,34.527731,1.403944,1.403944,12.604581,83.362308,1.613526e+00,1.613526,2.737051,4.629394,1.613526,1.613526,2.737051,4.629394,0.378510,0.788230,
20,24.000000,96.751522,134.534273,163.036146,12.188264,15.871780,21.633573,44.400533,4.485532,15.066128,30.242290,83.362308,2.548034e+00,5.207357,6.276816,6.713334,2.548034,5.207357,6.276816,6.713334,0.651060,0.788230,
21,2.088723,2.088723,56.000000,130.000000,1.438825,1.438825,17.079136,60.612287,0.060916,0.060916,8.400452,19.426045,9.516474e-01,0.951647,2.530600,2.530600,0.951647,0.951647,3.694851,5.621078,0.739320,0.788230,
22,13.759769,56.000000,56.000000,118.928936,4.838116,17.079136,17.079136,60.612287,1.403944,8.400452,8.400452,14.919349,1.157736e+00,1.936169,1.936169,2.261400,1.157736,1.936169,1.936169,2.605108,0.460830,0.788230,
23,13.759769,78.000000,78.000000,118.928936,4.838116,18.787050,18.787050,60.612287,1.403944,9.975537,9.975537,14.919349,1.363185e+00,1.734800,1.734800,1.734800,1.363185,2.051198,2.051198,2.318699,0.167940,0.788230,
24,13.759769,50.284634,78.000000,118.928936,4.838116,17.079136,18.787050,60.612287,1.403944,1.403944,9.975537,14.919349,1.520401e+00,1.520401,1.968538,2.184497,1.520401,1.520401,1.968538,2.184497,0.125140,0.788230,
25,13.759769,68.834666,78.000000,121.227779,4.838116,18.787050,19.356354,29.671376,1.403944,9.975537,11.025593,31.835211,1.867579e+00,2.733165,2.822721,3.759200,1.867579,2.733165,2.822721,4.067712,0.318680,0.788230,
26,20.307753,68.834666,114.724444,193.710851,4.838116,21.633573,24.790064,66.073196,1.403944,14.919349,31.835211,53.058685,1.830939e+00,3.195268,4.195210,5.430508,1.830939,3.195268,4.195210,5.430508,0.454980,0.788230,
27,20.307753,68.834666,114.724444,215.033002,4.838116,16.892429,24.790064,41.316773,0.726110,12.100381,31.835211,53.058685,2.122483e+00,3.690533,4.761889,6.200950,2.122483,3.690533,4.761889,6.200950,0.360820,0.788230,
28,20.307753,20.307753,114.724444,165.765507,3.545297,4.838116,21.633573,41.316773,0.726110,1.403944,30.242290,53.058685,2.524046e+00,2.524046,4.892395,5.688769,2.524046,2.524046,4.892395,5.688769,0.596420,0.788230,
29,20.307753,27.349567,114.724444,188.412483,3.545297,4.838116,24.790064,41.316773,0.726110,0.726110,31.835211,53.058685,2.535115e+00,2.535985,5.259836,6.523508,2.535115,2.535985,5.259836,6.523508,0.601560,0.788230,
30,56.668181,126.715662,134.534273,215.033002,15.294381,27.000000,30.497593,45.176661,7.487531,27.694275,33.548874,41.850834,4.224152e+00,6.454372,6.613592,7.728509,4.224152,6.454372,6.613592,7.728509,0.710380,0.788230,
31,13.759769,75.049001,118.928936,198.214894,4.838116,17.648441,60.612287,67.587885,1.403944,8.400452,14.919349,18.901017,1.603338e+00,3.348900,3.348900,3.348900,1.603338,3.539720,4.735410,5.264169,0.683200,0.788230,
32,13.759769,49.000000,50.284634,118.928936,4.838116,14.801918,18.787050,60.612287,1.403944,1.403944,3.675198,14.919349,1.909500e+00,1.909500,2.164749,3.154992,1.909500,1.909500,2.164749,3.154992,0.225470,0.788230,
33,13.759769,49.000000,53.000000,80.000000,4.838116,14.801918,24.029086,36.126787,0.726110,1.403944,11.025593,11.550621,1.843351e+00,1.884616,2.404410,2.429519,1.843351,1.884616,2.404410,2.429519,0.116100,0.788230,
34,13.759769,27.349567,62.000000,130.000000,4.838116,8.481168,19.356354,57.031640,0.726110,1.403944,11.025593,17.323992,1.992100e+00,2.049467,2.757321,3.128136,1.992100,2.049467,2.757321,3.128136,0.126830,0.788230,
35,20.307753,20.307753,62.000000,163.036146,3.545297,4.838116,19.094167,60.612287,0.726110,0.726110,10.527697,25.771432,1.981607e+00,1.981607,2.915933,4.033800,1.981607,1.981607,2.915933,4.077855,0.316620,0.788230,
36,20.307753,62.000000,118.928936,161.741144,3.545297,18.761720,30.497593,60.612287,0.726110,10.527697,22.713177,41.850834,2.029796e+00,3.680223,5.226602,6.030984,2.029796,3.680223,5.226602,6.030984,0.514390,0.788230,
37,27.349567,83.653521,126.715662,142.569503,8.481168,20.000000,30.497593,70.533134,0.633582,11.025593,22.713177,33.548874,2.283219e+00,4.543852,6.074639,6.916848,2.283219,4.543852,6.074639,6.916848,0.595220,0.788230,
38,83.352000,96.000000,126.715662,142.569503,19.695317,30.497593,57.031640,75.294434,7.487531,26.000000,55.724027,66.734239,4.158501e+00,6.627531,7.852915,8.172356,4.158501,6.627531,7.852915,8.172356,0.758970,0.788230,
39,73.770835,122.951391,126.715662,189.200416,21.676072,31.269534,48.341117,75.294434,19.231888,36.222480,55.724027,66.734239,6.015767e+00,7.405191,7.922280,8.239907,6.015767,7.405191,7.922280,8.239907,0.637520,0.788230,
40,58.000000,101.000000,126.715662,189.868404,18.761720,30.497593,45.176661,75.294434,18.532331,30.362697,45.152429,63.395227,4.343339e+00,5.840501,6.473259,7.485212,4.343339,5.840501,6.473259,7.485212,0.460400,0.788230,
41,45.029401,59.864203,84.000000,159.235641,13.094004,21.189352,30.796828,85.566393,1.403944,3.093480,11.025593,18.901017,1.809860e+00,2.298573,3.862416,4.666151,1.809860,2.298573,3.862416,4.666151,0.629200,0.788230,
42,45.029401,50.284634,59.864203,105.572639,18.478097,26.083883,29.671376,57.031640,0.426360,0.726110,2.236088,33.096918,1.802960e+00,1.829784,1.958483,3.185278,1.802960,1.829784,1.958483,3.185278,0.311660,0.788230,
43,20.307753,49.000000,67.000000,105.572639,4.838116,19.356354,29.596624,57.031640,0.426360,0.726110,3.093480,33.096918,1.805311e+00,1.859336,2.252483,2.384200,1.805311,1.859336,2.252483,4.351492,0.234230,0.788230,
44,20.307753,50.284634,67.000000,118.137957,4.838116,18.478097,24.543152,57.031640,0.633582,1.403944,16.800904,33.096918,2.250596e+00,2.282360,2.811702,3.200222,2.250596,2.282360,2.811702,3.200222,0.053544,0.788230,
45,45.029401,67.000000,83.653521,121.227779,8.481168,13.267152,19.356354,73.047349,0.726110,10.527697,14.919349,17.323992,2.539222e+00,3.017000,3.017000,3.017000,2.539222,3.394179,3.640649,3.750301,-0.013780,0.788230,
46,27.349567,50.596908,83.352000,147.683462,4.838116,8.481168,19.356354,70.533134,0.633582,1.403944,10.527697,17.323992,2.726104e+00,2.756259,3.082224,3.291329,2.726104,2.756259,3.082224,3.291329,0.015529,0.788230,
47,27.349567,70.000000,94.773983,167.698149,4.838116,9.572577,55.438097,80.675306,0.633582,1.403944,16.800904,40.040543,2.685268e+00,2.759089,4.039642,5.412560,2.685268,2.759089,4.039642,5.412560,0.440950,0.788230,
48,50.596908,83.653521,122.951391,198.214894,17.009132,45.176661,64.957735,101.020478,5.465929,24.214056,40.040543,66.734239,3.236220e+00,5.112940,6.117189,7.100364,3.236220,5.112940,6.117189,7.100364,0.648620,0.788230,
49,70.000000,73.770835,104.799999,198.214894,21.676072,45.176661,60.612287,101.020478,16.029459,34.700000,40.040543,51.887987,4.232731e+00,5.733730,6.008120,6.458037,4.232731,5.733730,6.008120,6.458037,0.644020,0.788230,
50,73.770835,101.000000,118.928936,168.518482,32.450359,45.176661,64.957735,101.020478,16.800904,39.902146,45.152429,57.753107,3.484507e+00,5.028958,5.265473,5.714154,3.484507,5.028958,5.265473,5.714154,0.499540,0.788230,
51,35.000000,51.487884,144.754888,159.235641,1.754019,25.652810,31.079345,85.566393,0.317940,3.031735,4.485532,16.931365,1.493823e+00,2.405148,2.419400,2.419400,1.493823,2.405148,2.788801,4.399598,0.713360,0.788230,
52,45.029401,77.482687,167.698149,167.698149,19.356354,23.341486,80.675306,80.675306,2.000000,14.700791,18.973575,25.771432,1.635700e+00,1.635700,1.635700,1.635700,1.784352,3.718575,5.290385,5.290385,0.843370,0.788230,
