description,lucode,Kc_1,Kc_2,Kc_3,Kc_4,Kc_5,Kc_6,Kc_7,Kc_8,Kc_9,Kc_10,Kc_11,Kc_12,CN_A,CN_B,CN_C,CN_D
Urban and paved roads,1,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,76,85,89,91
Grass,3,1,1,1,1,1,1,1,1,1,1,1,1,49,69,79,84
General agriculture,5,0.75,0.75,0.4,0.3,0.7,0.7,1.15,1.15,0.5,0.4,0.3,0.3,67,78,85,89
Tea,6,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,43,65,76,82
Coffee,7,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05,43,65,76,82
Forest,8,1,1,1,1,1,1,1,1,1,1,1,1,36,60,73,79
Water,9,1,1,1,1,1,1,1,1,1,1,1,1,99,99,99,99
Forest plantation,11,1,1,1,1,1,1,1,1,1,1,1,1,43,65,76,82
Unpaved road,18,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,77,86,91,94
Agroforestry,19,1,1,1,1,1,1,1,1,1,1,1,1,43,65,76,82
