ID,TYPE,LATI,LONG
1,GRID,41.670901,-70.913821
2,GRID,42.654621,-73.105935
3,GRID,42.090738,-72.635191
4,GRID,42.06118509,-72.64099689
5,GRID,42.373622,-72.50705
6,GRID,42.808985,-71.592749
7,GRID,44.13493084,-70.20438633
8,GRID,42.828655,-71.487201
9,GRID,41.347425,-73.085739
10,GRID,41.156341,-73.234184
11,GRID,42.571653,-72.617386
12,GRID,46.631478,-68.391636
13,GRID,43.69140447,-71.63720507
14,GRID,42.02000032,-71.3353592
15,GRID,42.078334,-70.973975
16,GRID,44.329474,-69.746129
17,GRID,42.280064,-71.169041
18,GRID,41.56355031,-73.0868407
19,GRID,41.854069,-72.52845
20,GRID,41.686459,-70.284621
21,GRID,41.18523044,-73.14442493
22,GRID,42.39147026,-72.0988987
23,GRID,44.194378,-72.52248
24,GRID,42.509132,-70.974476
25,GRID,44.08694694,-70.21170745
26,GRID,41.503182,-73.236572
27,GRID,43.90320756,-69.83487614
28,GRID,41.443745,-73.068855
29,GRID,45.39375213,-68.52126355
30,GRID,43.828076,-71.640351
31,GRID,44.45702445,-69.03903254
32,GRID,41.73747,-71.086245
33,GRID,42.06583715,-71.05462999
34,GRID,42.882145,-73.172418
35,GRID,42.468772,-73.093494
36,GRID,41.631974,-72.723038
37,GRID,41.48922198,-72.7550927
38,GRID,44.665671,-68.764286
39,GRID,43.467826,-70.492886
40,GRID,45.101628,-70.353766
41,GRID,42.574643,-71.274714
42,GRID,44.62874631,-70.6016844
43,GRID,41.661796,-72.805778
44,GRID,42.200375,-72.965393
45,GRID,43.576229,-73.233075
46,GRID,41.828699,-72.728636
47,GRID,41.82884494,-72.66893352
48,GRID,42.270188,-71.764011
49,GRID,44.577195,-68.453935
50,GRID,41.318698,-72.389996
51,GRID,43.116183,-70.768977
52,GRID,44.94454496,-69.65924354
53,GRID,41.766431,-70.558213
54,GRID,44.254246,-69.803819
55,GRID,41.406464,-71.750832
56,GRID,43.365547,-70.558361
57,GRID,41.292683,-72.793737
58,GRID,41.28405332,-72.85377796
59,GRID,42.115466,-72.523468
60,GRID,42.764989,-71.454384
61,GRID,41.21232138,-73.08093214
62,GRID,41.97232,-71.016954
63,GRID,42.357372,-71.131887
64,GRID,41.671211,-72.940379
65,GRID,41.31429924,-72.9340557
66,GRID,41.965747,-70.766831
67,GRID,41.812234,-71.886121
68,GRID,44.252877,-69.775089
69,GRID,42.17552345,-72.73458838
70,GRID,44.57484,-68.806132
71,GRID,41.374077,-72.045299
72,GRID,41.563701,-73.086243
73,GRID,42.475391,-71.214306
74,GRID,42.602899,-71.168763
75,GRID,43.663376,-70.553585
76,GRID,41.737781,-73.086616
77,GRID,42.156894,-71.154944
78,GRID,41.838621,-72.926531
79,GRID,41.702154,-72.234217
80,GRID,41.601029,-73.241068
81,GRID,42.128754,-71.997072
82,GRID,41.898289,-70.788785
83,GRID,44.06914588,-70.18644734
84,GRID,44.30713147,-73.26218652
85,GRID,43.960907,-72.470986
86,GRID,42.394902,-71.024846
87,GRID,45.39733499,-68.52924064
88,GRID,42.936361,-71.23722
89,GRID,42.167009,-72.593351
90,GRID,42.19551989,-72.57559558
91,GRID,43.565208,-72.945755
92,GRID,41.498829,-72.811925
93,GRID,41.41274445,-71.84668577
94,GRID,43.429081,-72.660222
95,GRID,44.63880357,-70.69232776
96,GRID,41.64942911,-71.007435
97,GRID,44.059513,-70.155308
98,GRID,41.4038913,-73.48904403
99,GRID,41.592548,-71.43519
100,GRID,43.14173,-71.184926
101,GRID,45.00397193,-72.10859201
102,GRID,44.792957,-69.362255
103,GRID,41.208774,-73.10733
104,GRID,42.308614,-71.055063
105,GRID,41.602041,-71.255385
106,GRID,42.443271,-73.205774
107,GRID,43.198231,-70.863648
108,GRID,41.696599,-71.472846
109,GRID,43.0566182,-71.44426198
110,GRID,42.053901,-70.722789
111,GRID,44.34207262,-72.77026883
112,GRID,42.02389,-70.966356
113,GRID,41.22773578,-73.09850821
114,GRID,44.636578,-72.931234
115,GRID,45.61803508,-68.57824437
116,GRID,41.670204,-72.753525
117,GRID,41.288074,-72.904381
118,GRID,42.158352,-72.537111
119,GRID,42.67268359,-72.02156317
120,GRID,45.39737177,-68.52583509
121,GRID,42.030342,-71.115098
122,GRID,43.63125206,-70.33944406
123,GRID,44.54366504,-68.43072817
124,GRID,42.127519,-72.744395
125,GRID,43.786628,-70.199056
126,GRID,41.93625,-72.614728
127,GRID,41.26707329,-72.97393461
128,GRID,44.671194,-67.786746
129,GRID,42.59485488,-72.36465267
130,GRID,44.481249,-73.113261
131,GRID,42.414301,-71.071722
132,GRID,43.59430894,-73.2620219
133,GRID,42.197607,-72.589484
134,GRID,41.563655,-70.611506
135,GRID,41.741816,-72.793711
136,GRID,44.54901103,-68.11238946
137,GRID,42.5506014,-71.84378251
138,GRID,42.800194,-72.147825
139,GRID,42.249708,-72.535779
140,GRID,43.708741,-73.06743
141,GRID,42.330138,-72.683131
142,GRID,42.268289,-71.398398
143,GRID,42.054919,-72.535683
144,GRID,41.79972342,-73.11661792
145,GRID,47.2785207,-68.37506441
146,GRID,41.612533,-73.060716
147,GRID,41.670916,-71.921182
148,GRID,47.234424,-68.57443
149,GRID,44.714096,-73.153862
150,GRID,41.061834,-73.520528
151,GRID,42.94453681,-71.46306616
152,GRID,42.471897,-71.045374
153,GRID,42.74262,-71.203544
154,GRID,44.48796989,-73.1696806
155,GRID,44.824184,-68.705437
156,GRID,41.30818504,-72.90865353
157,GRID,47.31176731,-68.15993127
158,GRID,44.11913,-72.498771
159,GRID,41.319643,-72.595837
160,GRID,43.015901,-71.569039
161,GRID,45.160382,-69.388971
162,GRID,44.151275,-70.208673
163,GRID,41.460817,-72.477076
164,GRID,41.488316,-72.492635
165,GRID,43.03258255,-71.66001176
166,GRID,42.98378316,-71.08378837
167,GRID,41.526677,-72.825477
168,GRID,44.622189,-67.797847
169,GRID,43.683257,-72.311841
170,GRID,41.827785,-71.519349
171,GRID,44.835791,-69.476508
172,GRID,41.687079,-70.100666
173,GRID,41.618292,-70.554316
174,GRID,41.71603,-71.157428
175,GRID,44.57454854,-69.58319267
176,GRID,41.70611,-70.990502
177,GRID,44.94038956,-73.0514553
178,GRID,44.938195,-73.05429415
179,GRID,44.136535,-69.204239
180,GRID,42.167218,-70.998476
181,GRID,42.19972942,-72.60999715
182,GRID,41.681006,-72.554948
183,GRID,44.06821,-70.267024
184,GRID,42.774735,-71.428755
185,GRID,42.387292,-71.556499
186,GRID,42.952998,-71.431461
187,GRID,41.673436,-70.281141
188,GRID,42.273393,-71.120605
189,GRID,44.675361,-67.546274
190,GRID,45.25383548,-68.62794314
191,GRID,41.32554236,-73.09992701
192,GRID,41.719417,-70.949183
193,GRID,42.236054,-72.685275
194,GRID,44.09267483,-71.15263629
195,GRID,44.844671,-72.284316
196,GRID,44.97824907,-72.48209224
197,GRID,41.338146,-72.982641
198,GRID,42.339566,-71.038123
199,GRID,42.929724,-72.286179
200,GRID,41.68314,-71.479319
201,GRID,41.438496,-71.632266
202,GRID,41.88126558,-71.89125266
203,GRID,44.151901,-70.633826
204,GRID,42.736489,-71.012275
205,GRID,42.893984,-71.084166
206,GRID,42.005227,-70.756361
207,GRID,42.351012,-71.05972278
208,GRID,43.52531,-71.452035
209,GRID,44.804426,-69.741317
210,GRID,42.791477,-71.37686
211,GRID,42.470576,-71.257277
212,GRID,42.445215,-71.266381
213,GRID,46.928961,-67.83074
214,GRID,41.750335,-71.439137
215,GRID,42.163933,-72.192777
216,GRID,44.329062,-71.884754
217,GRID,44.478457,-70.171264
218,GRID,42.732486,-71.452409
219,GRID,41.620318,-73.442081
220,GRID,43.529255,-70.503167
221,GRID,44.122024,-70.888726
222,GRID,42.194878,-72.446539
223,GRID,42.45459766,-70.95139688
224,GRID,44.53472937,-71.99357177
225,GRID,47.349568,-68.331175
226,GRID,43.160341,-70.931333
227,GRID,44.7867454,-69.89883128
228,GRID,43.39705286,-70.61790274
229,GRID,42.878489,-71.383518
230,GRID,41.77027,-72.557808
231,GRID,42.08038925,-70.69519299
232,GRID,41.626501,-70.472837
233,GRID,44.288742,-69.563385
234,GRID,42.436558,-71.43076
235,GRID,44.175513,-69.121264
236,GRID,42.136477,-71.447521
237,GRID,44.01431238,-73.13356547
238,GRID,44.28904,-72.679358
239,GRID,42.287363,-72.618149
240,GRID,41.26731348,-73.11814829
241,GRID,41.30724806,-72.90895016
242,GRID,42.19168,-71.742704
243,GRID,42.18794,-71.737379
244,GRID,41.79039,-71.330319
245,GRID,41.372322,-72.923856
246,GRID,42.829913,-72.167594
247,GRID,45.166919,-69.856125
248,GRID,43.684362,-70.399754
249,GRID,43.683889,-72.274181
250,GRID,41.366224,-71.959516
251,GRID,42.284184,-71.799252
252,GRID,42.27147,-71.239412
253,GRID,44.11914813,-73.16542908
254,GRID,41.2885712,-72.93823716
255,GRID,44.082832,-69.557902
256,GRID,42.96809062,-72.6522138
257,GRID,41.717752,-72.75086
258,GRID,44.939203,-72.179365
259,GRID,41.391196,-73.290128
260,GRID,41.566141,-73.025289
261,GRID,44.78891753,-69.8877715
262,GRID,44.363577,-69.797478
263,GRID,41.891452,-72.757862
264,GRID,42.391608,-71.143221
265,GRID,44.25334833,-73.25618777
266,GRID,41.414561,-72.842947
267,GRID,42.9057152,-71.46155592
268,GRID,43.39168,-72.099021
269,GRID,43.634245,-72.972684
270,GRID,44.011358,-71.676993
271,GRID,42.3150807,-71.57153657
272,GRID,41.78296,-72.704664
273,GRID,41.127223,-73.428381
274,GRID,41.176112,-73.420079
275,GRID,44.207023,-70.52803
276,GRID,42.17783,-70.802304
277,GRID,42.177729,-71.188095
278,GRID,43.276575,-71.543675
279,GRID,43.042279,-70.813217
280,GRID,41.780296,-69.999011
281,GRID,44.740519,-68.75401
282,GRID,42.437247,-73.287686
283,GRID,41.68710782,-70.34983687
284,GRID,42.632916,-72.071492
285,GRID,42.14519,-72.302797
286,GRID,44.10227268,-69.12260016
287,GRID,41.92745589,-70.70301417
288,GRID,42.487412,-73.216652
289,GRID,41.867263,-71.381651
290,GRID,41.268306,-73.429815
291,GRID,43.596822,-71.709523
292,GRID,41.18242555,-73.18693544
293,GRID,41.32070138,-72.69757729
294,GRID,41.62968,-70.921096
295,GRID,42.138701,-72.64071
296,GRID,42.522136,-72.91344
297,GRID,42.285121,-73.240647
298,GRID,43.598334,-70.293941
299,GRID,41.391537,-73.402271
300,GRID,43.75857703,-71.68637365
301,GRID,42.134419,-72.752905
302,GRID,42.424453,-72.536944
303,GRID,44.6278907,-71.25447368
304,GRID,43.310801,-70.725497
305,GRID,42.47147834,-71.73764438
306,GRID,43.71022,-70.338798
307,GRID,44.331358,-69.854177
308,GRID,43.288136,-70.742781
309,GRID,44.445572,-73.218668
310,GRID,41.31789948,-72.87750887
311,GRID,42.513568,-70.896869
312,GRID,43.944146,-70.494774
313,GRID,44.75448,-68.463632
314,GRID,44.55077134,-70.54284035
315,GRID,42.87138,-71.487734
316,GRID,43.092953,-70.778758
317,GRID,44.54881648,-69.71062275
318,GRID,44.507558,-70.2482
319,GRID,43.003048,-71.50197
320,GRID,42.004063,-71.507894
321,GRID,44.307157,-69.114147
322,GRID,41.916557,-71.37427
323,GRID,43.307996,-70.997627
324,GRID,43.14135395,-70.79087458
325,GRID,41.652744,-72.668871
326,GRID,44.537299,-70.544657
327,GRID,44.53128694,-70.52273674
328,GRID,43.6070262,-72.98938007
329,GRID,41.36358384,-72.88693809
330,GRID,44.00767869,-71.08755326
331,GRID,44.60899,-73.205805
332,GRID,41.717454,-70.466271
333,GRID,42.568514,-71.530455
334,GRID,43.459005,-70.780774
335,GRID,41.12424,-73.307969
336,GRID,43.09484129,-70.7872597
337,GRID,41.978842,-72.510454
338,GRID,42.902395,-71.339934
339,GRID,44.70345706,-69.64627442
340,GRID,41.510349,-72.569586
341,GRID,43.00879371,-70.88682728
342,GRID,44.569923,-69.509755
343,GRID,43.654222,-70.292559
344,GRID,44.66364213,-72.12252604
345,GRID,44.38356699,-73.23860596
346,GRID,42.256984,-71.411061
347,GRID,42.009944,-71.673433
348,GRID,42.27474806,-71.74318706
349,GRID,42.456164,-73.217626
350,GRID,41.17000476,-73.18540664
351,GRID,43.51970042,-70.4118814
352,GRID,43.632555,-72.286528
353,GRID,42.08272,-72.031888
354,GRID,42.55372,-70.953456
355,GRID,41.04783023,-73.53754702
356,GRID,43.643869,-70.431616
357,GRID,44.695982,-73.351451
358,GRID,42.820161,-71.644202
359,GRID,41.474691,-73.056277
360,GRID,43.621525,-70.330372
361,GRID,42.029956,-71.349215
362,GRID,41.588486,-72.866327
363,GRID,41.750891,-72.712726
364,GRID,42.015131,-72.794353
365,GRID,42.311645,-71.387805
366,GRID,43.651556,-70.360507
367,GRID,44.804411,-73.098923
368,GRID,44.417889,-71.983891
369,GRID,41.23728852,-73.01312127
370,GRID,41.434451,-73.386921
371,GRID,42.14160669,-71.10092583
372,GRID,44.459181,-72.698164
373,GRID,44.655061,-70.127627
374,GRID,42.360082,-71.397295
375,GRID,43.93175,-70.203996
376,GRID,41.54867419,-71.47212115
377,GRID,42.873435,-72.317831
378,GRID,42.623922,-71.246309
379,GRID,41.67540593,-73.06973314
380,GRID,42.198958,-72.344603
381,GRID,43.168377,-70.820771
382,GRID,42.950102,-70.868765
383,GRID,43.940144,-69.970839
384,GRID,41.776108,-73.120851
385,GRID,41.46720877,-73.13252211
386,GRID,42.22548225,-71.86210474
387,GRID,44.44025993,-73.11161163
388,GRID,41.883842,-71.890468
389,GRID,41.800964,-70.764515
390,GRID,44.529116,-68.38157
391,GRID,41.393788,-73.435252
392,GRID,41.23244402,-73.16069215
393,GRID,41.55453,-72.043052
394,GRID,41.510067,-72.75186
395,GRID,46.529968,-67.884275
396,GRID,42.859742,-72.973457
397,GRID,42.074062,-71.623084
398,GRID,47.16874318,-67.94134857
399,GRID,44.17912043,-73.24930328
400,GRID,42.238477,-71.795386
401,GRID,42.837659,-72.550989
402,GRID,42.77148,-72.515329
403,GRID,42.36034492,-71.77592761
404,GRID,42.50526914,-71.04162482
405,GRID,44.177971,-70.069856
406,GRID,42.377872,-71.263177
407,GRID,42.744305,-71.113662
408,GRID,41.891437,-70.903768
409,GRID,41.733899,-71.280868
410,GRID,41.937118,-71.461972
411,GRID,41.30170192,-72.92138816
412,GRID,43.576788,-70.695783
413,GRID,41.55488059,-73.05321568
414,GRID,43.455878,-71.67397
415,GRID,42.24399703,-71.83197877
416,GRID,41.947326,-70.017711
417,GRID,42.83296737,-70.97244832
418,GRID,41.482581,-73.431308
419,GRID,43.666742,-70.602188
420,GRID,42.137143,-72.027889
421,GRID,41.969476,-71.539159
422,GRID,42.298216,-71.481431
423,GRID,41.4728,-71.574633
424,GRID,42.139024,-71.448363
425,GRID,41.27585597,-72.95452271
426,GRID,42.13137,-71.268248
427,GRID,42.78891579,-72.44089982
428,GRID,42.79309524,-72.38459244
429,GRID,44.379287,-71.608423
430,GRID,42.110892,-72.434791
431,GRID,44.413905,-73.128648
432,GRID,43.489871,-72.408562
433,GRID,41.918782,-72.626003
434,GRID,44.569706,-69.603169
435,GRID,42.462457,-71.154113
436,GRID,41.427485,-71.704098
437,GRID,42.336216,-73.235038
438,GRID,44.389233,-70.62934
439,GRID,41.979405,-71.523508
440,GRID,44.72196607,-68.16741027
441,GRID,42.009621,-71.669579
442,GRID,41.816319,-71.4057
443,GRID,41.802489,-71.516895
444,GRID,41.81680869,-71.40582564
445,GRID,41.874754,-71.895937
446,GRID,41.71289552,-71.82267159
447,GRID,41.48896,-72.033424
448,GRID,41.584127,-72.041263
449,GRID,41.42876071,-72.10433166
450,GRID,41.554538,-72.578147
451,GRID,41.54043,-72.563542
452,GRID,41.55415407,-72.59678775
453,GRID,41.94822706,-72.62684252
454,GRID,41.750401,-72.65418
455,GRID,41.76417365,-72.69226204
456,GRID,41.534142,-72.747254
457,GRID,41.447485,-72.834788
458,GRID,41.2843017,-72.90529872
459,GRID,41.20697838,-73.10560138
460,GRID,41.22503068,-73.0994833
461,GRID,41.17233362,-73.18417955
462,GRID,41.17240886,-73.1849337
463,GRID,41.16303428,-73.20831447
464,GRID,41.08076711,-73.42887278
465,GRID,41.029066,-73.59829
466,GRID,41.03755,-73.555261
467,GRID,41.989199,-71.296639
468,GRID,41.988435,-71.264136
469,GRID,41.831359,-71.12695
470,GRID,41.738235,-71.14594
471,GRID,41.865292,-71.105487
472,GRID,41.712797,-71.190246
473,GRID,41.643213,-71.170841
474,GRID,41.673732,-70.998937
475,GRID,41.80297782,-70.78758269
476,GRID,41.769275,-70.510735
477,GRID,42.233972,-70.967595
478,GRID,42.22384704,-70.99532211
479,GRID,42.393044,-71.066957
480,GRID,42.526661,-70.87713
481,GRID,42.109255,-71.451832
482,GRID,42.091837,-71.483625
483,GRID,42.059524,-71.513684
484,GRID,42.5789064,-71.8285029
485,GRID,42.631154,-71.31252
486,GRID,42.113376,-72.01533
487,GRID,42.197932,-72.508553
488,GRID,42.157325,-72.522663
489,GRID,42.281718,-72.604526
490,GRID,42.04932883,-72.64788523
491,GRID,42.16195649,-72.73822465
492,GRID,42.094576,-72.595329
493,GRID,42.10465,-72.600952
494,GRID,44.480789,-73.188383
495,GRID,43.140582,-71.470194
496,GRID,42.904699,-71.423987
497,GRID,42.87399496,-71.4391663
498,GRID,42.89136857,-71.43193675
499,GRID,43.097423,-70.785951
500,GRID,43.105005,-70.805173
501,GRID,43.098292,-70.792232
502,GRID,43.656794,-70.37616777
503,GRID,43.751201,-70.155455
504,GRID,43.75160659,-70.15665387
505,GRID,43.99124792,-69.6714453
506,GRID,43.953599,-69.695403
507,GRID,44.553059,-70.542715
508,GRID,44.5318366,-70.52312935
509,GRID,44.505734,-70.242086
510,GRID,44.431831,-70.16174
511,GRID,45.14075075,-70.42471843
512,GRID,44.82252823,-68.70860674
513,GRID,44.700437,-67.957029
514,GRID,44.67855492,-67.5469578
515,GRID,45.2467854,-68.64978786
516,GRID,45.3696244,-68.5062816
517,GRID,45.64363029,-68.70731683
518,GRID,46.708938,-67.952446
519,GRID,46.84833602,-68.00269736
520,GRID,46.141538,-67.852039
521,GRID,43.401157,-72.419526
522,GRID,44.249843,-72.603408
523,GRID,43.64265276,-70.25473439
524,GRID,44.594182,-71.494319
525,GRID,42.543501,-70.92861
526,GRID,43.847959,-71.206621
